路線ID,バス会社ID,路線名称
124,432.0,東４２－２
125,432.0,東４２－２
126,432.0,東４２－３
127,432.0,東４２－３
128,432.0,東４３
129,432.0,東４３
130,432.0,東４３
131,432.0,東４３
132,432.0,業１０
133,432.0,業１０
134,432.0,業１０
135,432.0,業１０
136,432.0,業１０
137,432.0,業１０
138,432.0,橋６３
139,432.0,橋６３
140,432.0,橋８６
141,432.0,橋８６
142,432.0,橋８６
143,432.0,橋８６
144,432.0,江東０１
145,432.0,池６５
146,432.0,池６５
147,432.0,池８６
148,432.0,池８６
149,432.0,池８６
150,432.0,波０１
151,432.0,波０１
152,432.0,浜９５
153,432.0,浜９５
154,432.0,浜９５
155,432.0,海０１
156,432.0,海０１
157,432.0,深夜０２
158,432.0,深夜０２
159,432.0,深夜０３
160,432.0,深夜０３
161,432.0,深夜１１
162,432.0,深夜１２
163,432.0,深夜１２
164,432.0,深夜１３
165,432.0,深夜１３
166,432.0,渋６６
167,432.0,渋６６
168,432.0,渋８８
169,432.0,渋８８
170,432.0,渋８８出入
171,432.0,王４０丙
172,432.0,王４０出入
173,432.0,王４０出入
174,432.0,王４０出入
175,432.0,王４０出入
176,432.0,王４０甲
177,432.0,王４０甲
178,432.0,王４１
179,432.0,王４１
180,432.0,王４５
181,432.0,王４５
182,432.0,王４９
183,432.0,王４９
184,432.0,王４９
185,432.0,王４９
186,432.0,王４９
187,432.0,王４９
188,432.0,王４９：医療Ｃ・アイランド経由
189,432.0,王４９：医療Ｃ・アイランド経由
190,432.0,王５５
191,432.0,王５５
192,432.0,王５５折返
193,432.0,王５７
194,432.0,王５７
195,432.0,王７８
196,432.0,王７８
197,432.0,田８７
198,432.0,田９２
199,432.0,田９９
200,432.0,田９９
201,432.0,白６１
202,432.0,白６１
203,432.0,白６１
204,432.0,白６１
205,432.0,白６１
206,432.0,直行０２
207,432.0,直行０３
208,432.0,秋２６
209,432.0,秋２６
210,432.0,端４４
211,432.0,端４４
212,432.0,練６８
213,432.0,練６８
214,432.0,臨海２２
215,432.0,臨海２８－１
216,432.0,臨海２８－１
217,432.0,臨海２８－１
218,432.0,臨海２８－１
219,432.0,臨海２８－２
220,432.0,臨海２８－２：Ｋハイム発着
221,432.0,船２８
222,432.0,茶０７
223,432.0,茶５１
224,432.0,茶５１
225,432.0,茶５１
226,432.0,草２４
227,432.0,草２４
228,432.0,草３９
229,432.0,草４１
230,432.0,草４３
231,432.0,草４３
232,432.0,草４３
233,432.0,草４３
234,432.0,草６３
235,432.0,草６３
236,432.0,草６３
237,432.0,草６３－２
238,432.0,草６４
239,432.0,草６４
240,432.0,草６４
241,432.0,草６４
242,432.0,葛西２１
243,432.0,葛西２１
244,432.0,葛西２２
245,432.0,葛西２２
246,432.0,葛西２４
247,432.0,葛西２４
248,432.0,西葛２０乙
249,432.0,西葛２０乙
250,432.0,西葛２０乙
251,432.0,西葛２６
252,432.0,西葛２６
253,432.0,西葛２７
254,432.0,西葛２７
255,432.0,西葛２７
256,432.0,西葛２７
257,432.0,豊洲０１
258,432.0,都０１
259,432.0,都０１
260,432.0,都０１
261,432.0,都０１
262,432.0,都０２
263,432.0,都０２
264,432.0,都０２
265,432.0,都０２乙
266,432.0,都０２乙
267,432.0,都０３
268,432.0,都０３
269,432.0,都０３
270,432.0,都０３
271,432.0,都０４
272,432.0,都０５－１
273,432.0,都０５－１出入
274,432.0,都０５－１出入
275,432.0,都０５－２
276,432.0,都０５－２
277,432.0,都０５－２
278,432.0,都０５－２
279,432.0,都０６
280,432.0,都０７
281,432.0,都０８
282,432.0,里２２
283,432.0,里２２
284,432.0,里２２
285,432.0,里２２
286,432.0,里４８
287,432.0,里４８
288,432.0,里４８－２
289,432.0,里４８－３
290,432.0,錦１１
291,432.0,錦１１
292,432.0,錦１３乙
293,432.0,錦１３乙
294,432.0,錦１３出入
295,432.0,錦１３甲
296,432.0,錦１８
297,432.0,錦１８
298,432.0,錦１８
299,432.0,錦２２
300,432.0,錦２２
301,432.0,錦２５
302,432.0,錦２５
303,432.0,錦２５
304,432.0,錦２５
305,432.0,錦２５
306,432.0,錦２７
307,432.0,錦２７
308,432.0,錦２７－２
309,432.0,錦２７－３
310,432.0,錦２８
311,432.0,錦３７
312,432.0,錦３７
313,432.0,錦４０
314,432.0,錦４０
315,432.0,門１９
316,432.0,門１９
317,432.0,門１９
318,432.0,門２１
319,432.0,門２１
320,432.0,門３３
321,432.0,門３３
322,432.0,陽１２－１
323,432.0,陽１２－２
324,432.0,陽１２－３
325,432.0,陽１２－３
326,432.0,陽２０
327,432.0,陽２０
328,432.0,飯６２
329,432.0,飯６２
330,432.0,飯６４
331,432.0,飯６４
332,432.0,飯６４折返
333,432.0,高７１
334,432.0,黒７７
335,432.0,黒７７
336,432.0,ＡＬ０１
337,432.0,ＣＨ０１
338,432.0,ＦＬ０１
