バス会社ID,バス会社名称
534,京成トランジットバス
535,鴨川市
536,千葉市
537,富里市
538,長南町
539,あすか交通
540,天羽日東バス
541,我孫子市
542,習志野新京成バス
543,（有）大成交通
544,印旛村
545,神崎町
546,勝浦市
547,平和交通
548,柏市
549,栄町
550,市川市
551,都自動車
552,東京ベイサービス
553,睦沢町
554,市原市
555,流山市
556,佐倉市
557,山武市
558,木更津市
559,千葉交タクシー
560,鋸南町
561,鎌ヶ谷市
562,東金市
563,大網白里町
564,京成バスシステム
565,芝山町
566,習志野市
567,浦安市
568,成田市観光循環バス
569,四街道市
570,北総交通（株）
571,佐倉交通（株）
572,京浜急行バス（株）
573,神奈川中央交通（株）
574,江ノ電バス藤沢
575,東急バス（株）
576,横浜市
577,箱根登山バス
578,富士急湘南バス（株）
579,小田急箱根高速バス
580,横浜京急バス
581,川崎鶴見臨港バス
582,川崎市
583,相鉄バス（株）
584,湘南京急バス
585,江ノ電バス横浜・江ノ電バス藤沢
586,湘南神奈交バス
587,津久井神奈交バス
588,座間市
589,茅ヶ崎市
590,藤沢神奈交バス
591,綾瀬市
592,横浜神奈交バス
593,相模神奈交バス
594,大和市
595,愛川町
596,寒川町
597,海老名市
598,平塚市
599,山北町
600,二宮町
601,真鶴町
602,フジエクスプレス
603,横浜交通開発
604,大磯町
605,相模原市
606,湯河原町
607,（株）共同
608,大新東
609,富士急行（株）
610,山梨交通（株）
611,富士急バス（株）
612,北杜市
613,富士急バス（株）（旧：富士急平和観光）
614,山交タウンコーチ（株）
615,山梨市
616,甲州市
617,甲斐市
618,南アルプス市
619,山梨峡北交通（株）
620,（株）栄和交通
621,山梨交通観光バス（株）
622,早川町
623,身延町
624,市川三郷町
625,富士吉田市
626,韮崎市
627,富士川町
628,小菅村
629,笛吹市
630,山梨中央交通（株）
631,富士急山梨ハイヤー（株）
632,中央市
633,越後交通（株）
634,新潟交通（株）
635,新潟交通（株）・阪急バス（株）
636,南越後観光バス（株）
637,頸城自動車（株）
638,新潟交通（株）・越後交通（株）
639,新潟交通佐渡（株）
640,新潟交通（株）・名鉄バス（株）
641,頸南バス（株）
642,新潟交通観光バス（株）
643,糸魚川バス（株）
644,頸城自動車（株）・越後交通（株）・西部バス（株）
645,新潟交通（株）・越後交通（株）・西部バス（株）
646,新潟交通（株）・北陸鉄道（株）
647,阿賀野市
648,新潟交通（株）・富山地方鉄道（株）
649,新潟交通（株）・日本中央バス（株）
650,新発田市
651,南魚沼市
652,新潟交通（株）・長電バス（株）
653,加茂市
654,くびき野バス（株）
655,東頸バス（株）
656,燕市
657,十日町
658,新潟市江南区
659,三条市
660,頸北観光バス（株）
661,新潟交通（株）・頸城自動車（株）
662,新潟交通（株）・山交バス（株）
663,新潟市南区
664,上越市
665,蒲原鉄道（株）・新潟交通（株）
666,聖籠町
667,魚沼市
668,新潟市西区
669,新潟市西蒲区
670,五泉市
671,刈羽村
672,新潟市北区
673,新潟市東区
674,粟島浦村
675,新潟市秋葉区
676,柏崎市
677,見附市
678,糸魚川市
679,新潟市中央区
680,長岡市
681,胎内市
682,アルピコ交通（株）
683,千曲バス（株）
684,長電バス（株）
685,信南交通（株）
686,伊那バス（株）
687,西武高原バス（株）
688,飯田市
689,佐久市
690,長野市
691,おんたけ交通（株）
692,茅野市
693,塩尻市
694,大町市
695,上田市
696,千曲市
697,木曽町
698,伊那市
699,松川町
700,上田バス（株）
701,駒ヶ根市
702,中川村
703,菅平観光タクシー（株）
704,池田町
705,小諸市
706,諏訪市
707,飯山市
708,東信観光バス（株）
709,阿南町
710,飯綱町
711,信濃町
712,喬木村
713,松本市
714,岡谷市
715,須坂市
716,長和町
717,大桑村
718,箕輪町
719,飯島町
720,南箕輪村
721,原村
722,小谷村
723,立科町
724,豊丘村
725,小海町
726,中野市
727,軽井沢町
728,上松町
729,朝日村
730,川上村
731,南安タクシー（有）
732,南木曽町
733,東御市
734,坂城町
735,筑北村
736,下諏訪町
737,生坂村
738,小川村
739,青木村
740,根羽村
741,木祖村
742,王滝村
743,野沢温泉村
744,大鹿村
745,辰野町
746,南相木村
747,麻績村
748,泰阜村
749,天龍村
750,（株）関電アメニックス
751,安曇野市
752,北相木村
753,中央アルプス観光（株）
754,栄村
755,御代田町
756,富山地方鉄道（株）
757,加越能鉄道（株）
758,南砺市
759,富山市
760,射水市
761,イルカ交通（株）
762,小矢部市
763,魚津市
764,朝日町
765,滑川市
766,立山町
767,砺波市
768,入善町
769,上市町
770,黒部市
771,立山黒部貫光（株）
772,海王交通（株）
773,高岡市
774,北陸鉄道（株）
775,北鉄奥能登バス（株）
776,北鉄能登バス（株）
777,七尾市
778,加賀白山バス（株）
779,志賀町
780,小松バス（株）
781,中能登町
782,能美市
783,加賀温泉バス（株）
784,津幡町
785,能登町
786,（株）まちづくり加賀
787,羽咋市
788,能登島交通（株）
789,野々市市
790,かほく市
791,輪島市
792,内灘町
793,小松市
794,珠洲市
795,穴水町
796,金沢市
797,小松バス（株）・加賀白山バス（株）
798,加賀市
799,（株）金沢市商業活性化センター
800,京福バス（株）
801,福井鉄道（株）
802,坂井市
803,越前町
804,大野市
805,越前市
806,敦賀市
807,勝山市
808,小浜市
809,鯖江市
810,あわら市
811,永平寺町
812,美浜町
813,京福リムジンバス
814,南越前町
815,高浜町
816,おおい町
817,若狭町
818,福井市
819,（有）高志タクシー
820,しずてつジャストライン（株）
821,遠州鉄道（株）
822,富士急静岡バス（株）
823,JRバステック（株）
824,富士急シティバス（株）
825,伊豆箱根バス（株）
826,（株）東海バスオレンジシャトル
827,（株）伊豆東海バス
828,（株）中伊豆東海バス
829,（株）南伊豆東海バス
830,浜松市天竜区
831,（株）西伊豆東海バス
832,磐田市
833,秋葉バスサービス（株）
834,袋井市
835,菊川市
836,静岡市
837,島田市
838,小山町
839,藤枝市
840,焼津市
841,富士市
842,掛川バスサービス（株）
843,浜松市浜北区
844,富士宮市
845,御前崎市
846,浜松市北区
847,川根本町
848,裾野市
849,牧之原市
850,浜松バス（株）
851,湖西市
852,三島市
853,沼津市
854,掛川市
855,森町
856,下田市
857,清水町
858,熱海市
859,大井川鐡道（株）
860,河津町
861,東伊豆町
862,浜松市
863,長泉町
864,名鉄バス（株）
865,JR東海バス（株）
866,名古屋市
867,豊鉄バス（株）
868,豊田市
869,新城市
870,愛西市
871,知多乗合（株）
872,あおい交通（株）
873,岡崎市
874,名鉄東部交通（株）
875,日進市
876,安城市
877,小牧市
878,大府市
879,名鉄バス東部（株）
880,田原市
881,碧南市
882,弥富市
883,春日井市
884,大口町
885,一宮市
886,設楽町
887,東郷町
888,北名古屋市
889,飛島村
890,西尾市
891,尾張旭市
892,東栄町
893,稲沢市
894,瀬戸市
895,東海市
896,高浜市
897,犬山市
898,名鉄バス中部（株）
899,刈谷市
900,長久手町
901,知立市
902,豊明市
903,津島市
904,東浦町
905,豊川市
906,豊根村
907,清須市
908,南知多町
909,みよし市
910,豊山町
911,武豊町
912,知多市
913,一色町・吉良町
914,常滑市
915,江南市
916,岐阜乗合自動車（株）
917,濃飛乗合自動車（株）
918,東濃鉄道（株）
919,岐阜バス観光（株）
920,名阪近鉄バス（株）
921,恵那市
922,（株）岐阜バスコミュニティ八幡
923,北恵那交通（株）
924,御嵩町
925,美濃加茂市
926,海津市
927,飛騨市
928,瑞浪市
929,郡上市
930,土岐市
931,関市
932,揖斐川町
933,羽島市
934,（株）岐阜バスコミュニティ
935,山県市
936,可児市
937,各務原市
938,多治見市
939,下呂市
940,美濃市
941,中津川市
942,八百津町
943,安八町
944,大垣市
945,瑞穂市
946,本巣市
947,輪之内町
948,七宗町
949,笠松町
950,白鳥交通（株）
951,岐南町
952,大野町
953,三重交通（株）
954,三交伊勢志摩交通（株）
955,津市
956,伊賀市
957,松阪市
958,桑名市
959,明和町
960,伊勢市
961,南伊勢町
962,多気町
963,大台町
964,菰野町
965,亀山市
966,紀宝町
967,鈴鹿市
968,三重急行自動車（株）
969,尾鷲市
970,鳥羽市
971,三岐鉄道（株）
972,熊野市
973,熊野市・御浜町
974,八風バス（株）
975,志摩市
976,東員町
977,名張市
978,いなべ市
979,木曽岬町
980,近江鉄道（株）
981,甲賀市
982,米原市
983,長浜市
984,帝産バス
985,高島市
986,彦根市
987,東近江市
988,江若交通（株）
989,近江八幡市
990,湖南市
991,多賀町
992,愛荘町
993,野洲市
994,草津市
995,米原市・長浜市
996,栗東市
997,竜王町
998,奈良交通（株）
999,十津川村
1000,吉野町
1001,御所市
1002,宇陀市
1003,大和高田市
1004,大和郡山市
1005,黒滝村
1006,桜井市
1007,エヌシーバス（株）
1008,明日香村
1009,御杖村
1010,奈良市
1011,天理市
1012,平群町
1013,吉野大峯ケーブル自動車（株）
1014,橿原市
1015,生駒市
1016,京都交通（株）
1017,京阪京都交通（株）
1018,丹後海陸交通（株）
1019,京都市
1020,京都バス（株）
1021,京都京阪バス（株）
1022,南丹市
1023,西日本JRバス（株）
1024,福知山市
1025,亀岡市
1026,京丹波町
1027,綾部市
1028,（株）ヤサカバス
1029,京丹後市
1030,舞鶴市
1031,木津川市
1032,精華町
1033,与謝野町
1034,久御山町
1035,伊根町
1036,伏見区
1037,長岡京市
1038,京都急行バス（株）（旧：セレモニー観光（株））
1039,城陽市
1040,八幡市
1041,JR東海バス㈱
1042,近鉄バス（株）
1043,阪急バス（株）
1044,南海バス（株）
1045,京阪バス（株）
1046,阪急観光バス（株）
1047,関西空港交通（株）
1048,大阪シティバス(株)
1049,大阪空港交通（株）
1050,高槻市
1051,南海ウイングバス南部（株）
1052,堺市
1053,南海ウイングバス金岡（株）
1054,貝塚市
1055,四條畷市
1056,金剛自動車（株）
1057,泉南市
1058,大阪狭山市
1059,阪南市
1060,泉佐野市
1061,和泉市
1062,豊能町
1063,岬町
1064,熊取町
1065,水間鉄道（株）
1066,吹田市
1067,大東市
1068,岸和田市
1069,日本城タクシー（株）
1070,北港観光バス（株）
1071,富田林市
1072,河内長野市
1073,大阪シティバス
1074,神姫バス（株）
1075,阪神バス（株）
1076,全但バス（株）
1077,本四海峡バス（株）
1078,ロウズ観光（株）
1079,山陽電気鉄道（株）
1080,神姫グリーンバス（株）
1081,淡路交通（株）
1082,神戸市
1083,（株）神戸山陽バス
1084,（株）はくろタクシー
1085,（株）ウエスト神姫
1086,三木市
1087,伊丹市
1088,阪急田園バス（株）
1089,小野市
1090,朝来市
1091,たつの市
1092,明石市
1093,豊岡市
1094,丹波篠山市
1095,南あわじ市
1096,赤穂市
