市区町村名,緯度,経度,区内バス停ID,バス会社名称,バス停名称
港区,35.629529,139.778455,69,都営バス,お台場海浜公園駅前
葛飾区,35.748013,139.841191,70,葛飾区,お花茶屋駅
葛飾区,35.74683,139.840612,71,葛飾区,お花茶屋駅
江東区,35.639631,139.793466,72,都営バス,かえつ学園西
千代田区,35.693979,139.752305,73,千代田区,かがやきプラザ[九段坂病院]
台東区,35.717916,139.78984,74,東武バス,かっぱ橋道具街入口
板橋区,35.75143,139.681905,75,国際興業（株）,かみのね橋
板橋区,35.75094,139.682479,76,関東バス（株）,かみのね橋
千代田区,35.696604,139.768511,77,千代田区,かんだ連雀
渋谷区,35.664918,139.701363,78,渋谷区,かんなみの杜・渋谷
渋谷区,35.664641,139.701499,79,渋谷区,かんなみの杜・渋谷
江東区,35.633504,139.794424,80,都営バス,がん研有明病院前
江戸川区,35.67293,139.861951,81,都営バス,くすのきカルチャーセンター前
目黒区,35.638928,139.698026,82,東急バス（株）,けこぼ坂上
荒川区,35.730678,139.801495,83,京成バス（株）,けんちの苑
世田谷区,35.625419,139.593406,84,小田急バス（株）,こまえ苑
文京区,35.711387,139.751669,85,文京区,こんにゃくえんま
葛飾区,35.776592,139.862007,86,京成バス（株）,さかえ児童遊園
品川区,35.59451,139.734343,87,品川区,さくら会前
荒川区,35.736612,139.805055,88,京成バス（株）,さくら保育園
荒川区,35.736553,139.805054,89,京成バス（株）,さくら保育園
江戸川区,35.707017,139.890238,90,京成バス（株）,さくら公園入口
品川区,35.596498,139.739937,91,京成バス（株）,しながわ区民公園
品川区,35.590857,139.736327,92,京成バス（株）,しながわ水族館前
品川区,35.589508,139.73566,93,京成バス（株）,しながわ水族館前
葛飾区,35.77798,139.869752,94,京成バス（株）,しばられ地蔵
葛飾区,35.777695,139.869928,95,京成バス（株）,しばられ地蔵
江戸川区,35.704611,139.894339,96,京成バス（株）,しゃくやく公園前
足立区,35.775619,139.829962,97,東武バス,しょうぶ沼公園
足立区,35.770862,139.831514,98,日立自動車交通,すいすいらんど綾瀬
世田谷区,35.657349,139.625788,99,京王バス,すきっぷ前
墨田区,35.715133,139.830797,100,京成バス（株）,すみだスポーツ健康センター入口
墨田区,35.697519,139.808762,101,京成バス（株）,すみだトリフォニーホール入口
墨田区,35.696994,139.80062,102,京成バス（株）,すみだ北斎美術館前[津軽家上屋敷跡]
墨田区,35.712898,139.81196,103,京成バス（株）,すみだ女性センター
千代田区,35.692346,139.760893,104,千代田区,ちよだプラットフォームスクウェア入口
台東区,35.713349,139.792519,105,台東区,つくばエクスプレス浅草駅〔めぐりん〕
渋谷区,35.687677,139.681495,106,渋谷区,つばめの里・本町東
世田谷区,35.652885,139.604845,107,小田急バス（株）,つりがね池公園
墨田区,35.70897,139.809239,108,都営バス,とうきょうスカイツリー駅入口
墨田区,35.7101,139.808597,109,都営バス,とうきょうスカイツリー駅前
墨田区,35.710115,139.808591,110,京成バス（株）,とうきょうスカイツリー駅前
墨田区,35.710019,139.808381,111,都営バス,とうきょうスカイツリー駅前
板橋区,35.759177,139.68875,112,国際興業（株）,ときわ台駅
板橋区,35.759216,139.689541,113,国際興業（株）,ときわ台駅
板橋区,35.75912,139.689547,114,国際興業（株）,ときわ台駅
板橋区,35.756151,139.686157,115,国際興業（株）,ときわ台駅入口
世田谷区,35.675265,139.592539,116,小田急バス（株）,ときわ橋
豊島区,35.735077,139.736579,117,都営バス,とげぬき地蔵前
豊島区,35.735214,139.736841,118,都営バス,とげぬき地蔵前
墨田区,35.715085,139.819766,119,京成バス（株）,とらばし児童遊園
葛飾区,35.787127,139.850429,120,京成バス（株）,なかよし通り
葛飾区,35.787323,139.850536,121,東武バス,なかよし通り
