市区町村名,緯度,経度,区内バス停ID,バス会社名称,バス停名称,バス停数
江戸川区,35.686687,139.898504,2551,京成バス（株）,宮下,2
中野区,35.7011,139.68336,2552,関東バス（株）,宮下交差点,2
渋谷区,35.661223,139.702439,2555,渋谷区,宮下公園,1
渋谷区,35.661223,139.702439,2557,渋谷区,宮下公園前,None
大田区,35.559302,139.705715,2558,東急バス（株）,宮元通り,2
世田谷区,35.654171,139.660206,2559,小田急バス（株）,宮前橋,None
足立区,35.759043,139.752329,2563,足立区,宮城一丁目,1
足立区,35.762381,139.755151,2564,都営バス,宮城二丁目,3
足立区,35.761446,139.754963,2568,足立区,宮城交差点,1
足立区,35.762405,139.758299,2569,都営バス,宮城土手上,2
足立区,35.760617,139.756771,2570,足立区,宮城小学校前,2
足立区,35.75758,139.75344,2573,足立区,宮城第三都住,1
足立区,35.757579,139.757251,2574,都営バス,宮城都営住宅前,2
渋谷区,35.667811,139.689647,2576,都営バス,富ヶ谷,2
渋谷区,35.665924,139.692236,2581,渋谷区,富ヶ谷一丁目,1
渋谷区,35.664335,139.687651,2582,京王バス,富ヶ谷二丁目,1
渋谷区,35.665869,139.687749,2583,京王バス,富ヶ谷交差点,1
文京区,35.709152,139.748887,2584,都営バス,富坂上,2
文京区,35.709492,139.751879,2586,文京区,富坂下,None
江戸川区,35.650052,139.876161,2588,都営バス,富士公園前,None
豊島区,35.736507,139.69423,2589,国際興業（株）,富士神社入口,2
文京区,35.730519,139.751396,2592,文京区,富士神社前,None
練馬区,35.739391,139.589053,2593,西武バス（株）,富士街道,4
千代田区,35.69619,139.745326,2596,千代田区,富士見あんず館,1
渋谷区,35.676487,139.667247,2597,渋谷区,富士見丘学園,1
千代田区,35.699475,139.746369,2599,千代田区,富士見出張所,1
大田区,35.611181,139.689786,2600,東急バス（株）,富士見台,1
中野区,35.732982,139.626556,2601,西武バス（株）,富士見台一丁目,2
板橋区,35.763118,139.692647,2603,国際興業（株）,富士見台小学校,2
中野区,35.734911,139.631347,2604,関東バス（株）,富士見台駅,2
大田区,35.575355,139.725968,2606,京成バス（株）,富士見橋,2
北区,35.740221,139.755575,2607,北区,富士見橋エコー広場館,1
板橋区,35.761006,139.70237,2608,国際興業（株）,富士見町,2
板橋区,35.759783,139.69994,2609,関東バス（株）,富士見町都営住宅前,2
中野区,35.689152,139.668788,2611,京王バス,富士高校,2
江東区,35.670274,139.800084,2613,都営バス,富岡一丁目,2
中央区,35.689523,139.782405,2615,日の丸自動車興業,富沢町,None
台東区,35.721148,139.773716,2616,台東区,寛永寺,None
世田谷区,35.60139,139.656078,2617,東急バス（株）,寮の坂上,1
世田谷区,35.675803,139.59873,2618,関東バス（株）,寺院通一番,1
世田谷区,35.678147,139.596272,2619,関東バス（株）,寺院通三番,1
世田谷区,35.677388,139.597029,2620,関東バス（株）,寺院通二番,1
世田谷区,35.680772,139.59379,2621,関東バス（株）,寺院通五番,1
世田谷区,35.678995,139.595254,2622,関東バス（株）,寺院通四番,1
台東区,35.706987,139.791079,2623,京成バス（株）,寿三丁目〔めぐりん〕,None
台東区,35.706309,139.789703,2624,都営バス,寿三丁目〔都営バス〕,None
目黒区,35.644328,139.689514,2625,東急バス（株）,寿福寺前,2
千代田区,35.696622,139.755065,2627,千代田区,専修大学法科大学院前,1
千代田区,35.694659,139.755924,2628,千代田区,専大前交差点,1
世田谷区,35.66558,139.622135,2629,京王バス,将軍池公園,1
中央区,35.691136,139.7794,2630,都営バス,小伝馬町,3
中央区,35.691209,139.77904,2632,中央区,小伝馬町駅,1
荒川区,35.749841,139.762251,2633,都営バス,小台,2
足立区,35.756969,139.762256,2634,足立区,小台一丁目,1
足立区,35.756432,139.760845,2635,足立区,小台二丁目,2
足立区,35.759111,139.758962,2637,足立区,小台二丁目北,1
足立区,35.755976,139.768873,2638,足立区,小台土手上,2
足立区,35.754884,139.774836,2641,足立区,小台東,2
足立区,35.755769,139.762785,2644,都営バス,小台橋,2
足立区,35.758721,139.762111,2645,都営バス,小台町,2
