市区町村名,緯度,緯度,経度,経度,区内バス停ID,会社名称,路線名称,どこからどこまで,行き方面,帰り方面,バス停名称,url,同じバス停
error,None,None,None,None,77,関東バス,中２４,中村橋駅～中野駅,中野駅方面,中村橋駅方面,中野駅,https://mb.jorudan.co.jp//os/bus/1308/stop/48625.html,
error,None,None,None,None,78,関東バス,中２４－１,丸山営業所～中村橋駅,中村橋駅方面,丸山営業所方面,中村橋駅,https://mb.jorudan.co.jp//os/bus/1308/stop/48381.html,
error,None,None,None,None,79,関東バス,中２７－２,丸山営業所～江古田の森,江古田の森方面,丸山営業所方面,江古田の森,https://mb.jorudan.co.jp//os/bus/1308/stop/48634.html,
error,None,None,None,None,80,関東バス,中４３－１,江古田駅～丸山営業所,丸山営業所方面,江古田駅方面,丸山営業所,https://mb.jorudan.co.jp//os/bus/1308/stop/48729.html,
error,None,None,None,None,81,関東バス,吉５２－３,武蔵野営業所～電通裏,電通裏方面,武蔵野営業所方面,電通裏,https://mb.jorudan.co.jp//os/bus/1308/stop/48557.html,
error,None,None,None,None,82,関東バス,吉５４－１,武蔵野市役所～武蔵野営業所,武蔵野営業所方面,武蔵野市役所方面,武蔵野営業所,https://mb.jorudan.co.jp//os/bus/1308/stop/48677.html,
error,None,None,None,None,83,関東バス,吉７２,桜堤団地～吉祥寺駅北口,吉祥寺駅北口方面,桜堤団地方面,吉祥寺駅北口,https://mb.jorudan.co.jp//os/bus/1308/stop/48579.html,
error,None,None,None,None,84,関東バス,吉７２－２,武蔵野営業所～桜堤団地,桜堤団地方面,武蔵野営業所方面,桜堤団地,https://mb.jorudan.co.jp//os/bus/1308/stop/48768.html,
error,None,None,None,None,85,関東バス,境１２－２,武蔵野営業所～向台町五丁目,向台町五丁目方面,武蔵野営業所方面,向台町五丁目,https://mb.jorudan.co.jp//os/bus/1308/stop/48492.html,
error,None,None,None,None,86,関東バス,境１７－２,武蔵野営業所～武蔵境駅,武蔵境駅方面,武蔵野営業所方面,武蔵境駅,https://mb.jorudan.co.jp//os/bus/1308/stop/48871.html,
error,None,None,None,None,87,関東バス,宿０１,新宿駅西口～小滝橋,新宿西口方面,小滝橋方面,小滝橋,https://mb.jorudan.co.jp//os/bus/1308/stop/173827.html,
error,None,None,None,None,88,関東バス,武蔵野営業所～関前西公園,武蔵野営業所～関前西公園,関前西公園方面,武蔵野営業所方面,関前西公園,https://mb.jorudan.co.jp//os/bus/1308/stop/48406.html,
error,None,None,None,None,89,関東バス,練２１,練馬駅～練馬区役所東,練馬駅方面,練馬駅方面,練馬駅,https://mb.jorudan.co.jp//os/bus/1308/stop/48484.html,
error,None,None,None,None,90,関東バス,花２１：小金井公園～花小金井,小金井公園東口～花小金井駅南口,花小金井駅南口方面,小金井公園東口方面,花小金井駅南口,https://mb.jorudan.co.jp//os/bus/1308/stop/48643.html,
error,None,None,None,None,91,関東バス,若宮大和町循環,白鷺一丁目～白鷺一丁目第４アパート,白鷺一丁目方面,白鷺一丁目方面,白鷺一丁目,https://mb.jorudan.co.jp//os/bus/1308/stop/48487.html,
error,None,None,None,None,92,関東バス,荻３０,荻窪駅北口～青梅街道営業所,青梅街道営業所方面,荻窪駅北口方面,青梅街道営業所,https://mb.jorudan.co.jp//os/bus/1308/stop/48769.html,
error,None,None,None,None,93,関東バス,荻５３,荻窪駅南口～五日市街道営業所,五日市街道営業所方面,荻窪駅南口方面,五日市街道営業所,https://mb.jorudan.co.jp//os/bus/1308/stop/48680.html,
error,None,None,None,None,94,関東バス,荻６０－１／荻６０,五日市街道営業所～荻窪駅南口,荻窪駅南口方面,五日市街道営業所方面,荻窪駅南口,https://mb.jorudan.co.jp//os/bus/1308/stop/48434.html,
error,None,None,None,None,95,関東バス,荻６０：荻窪駅南～南荻窪二丁目,荻窪駅南口～南荻窪二丁目,南荻窪二丁目方面,荻窪駅南口方面,南荻窪二丁目,https://mb.jorudan.co.jp//os/bus/1308/stop/48631.html,
error,None,None,None,None,96,関東バス,阿０３,阿佐ヶ谷駅～阿佐谷北六丁目,阿佐ヶ谷駅方面,阿佐ヶ谷駅方面,阿佐ヶ谷駅,https://mb.jorudan.co.jp//os/bus/1308/stop/48849.html,
error,None,None,None,None,97,関東バス,高６０－１,練馬駅～高円寺駅南口,高円寺駅南口方面,練馬駅方面,高円寺駅南口,https://mb.jorudan.co.jp//os/bus/1308/stop/48763.html,
error,None,None,None,None,98,関東バス,鷹０２－１,立野橋～武蔵関駅,武蔵関駅方面,立野橋方面,武蔵関駅,https://mb.jorudan.co.jp//os/bus/1308/stop/48530.html,
error,None,None,None,None,99,関東バス,鷹１０,三鷹駅～武蔵野営業所,武蔵野営業所方面,三鷹駅方面,東急ストア,https://mb.jorudan.co.jp//os/bus/1308/stop/48635.html,
error,None,None,None,None,100,関東バス,鷹１０,三鷹駅～武蔵野営業所,三鷹駅方面,武蔵野営業所方面,武蔵野警察署前,https://mb.jorudan.co.jp//os/bus/1308/stop/48635.html,
error,None,None,None,None,101,関東バス,鷹３５－２,武蔵野営業所～ヴィーガーデン西東京,ヴィーガーデン西東京方面,武蔵野営業所方面,ヴィーガーデン西東京,https://mb.jorudan.co.jp//os/bus/1308/stop/48727.html,
error,None,None,None,None,102,関東バス,Ｋ０２,中野駅～井草一丁目,井草一丁目方面,中野駅方面,井草一丁目,https://mb.jorudan.co.jp//os/bus/1308/stop/48378.html,
error,None,None,None,None,103,西武バス,ひばりヶ丘駅～イオン東久留米,ひばりヶ丘駅～イオンモール東久留米,イオンモール東久留米方面,ひばりヶ丘駅方面,イオンモール東久留米,https://mb.jorudan.co.jp//os/bus/1306/stop/46053.html,
error,None,None,None,None,104,西武バス,ひばりヶ丘駅～田無駅：深夜,ひばりヶ丘駅～田無駅,田無駅方面,ひばりヶ丘駅方面,田無駅,https://mb.jorudan.co.jp//os/bus/1306/stop/45035.html,
error,None,None,None,None,105,西武バス,ひばり８３,ひばりが丘団地中央～ひばりヶ丘駅,ひばりヶ丘駅方面,ひばりが丘団地中央方面,ひばりヶ丘駅,https://mb.jorudan.co.jp//os/bus/1306/stop/45345.html,
error,None,None,None,None,106,西武バス,入市４０：準急,入間市駅～三井アウトレットパーク,三井アウトレットパーク方面,入間市駅方面,三井アウトレットパーク,https://mb.jorudan.co.jp//os/bus/1306/stop/46104.html,
error,None,None,None,None,107,西武バス,入市４１,入間市博物館～入間市駅,入間市駅方面,入間市博物館方面,入間市駅,https://mb.jorudan.co.jp//os/bus/1306/stop/45477.html,
error,None,None,None,None,108,西武バス,入市５１：準急,入間市駅～入間市博物館,入間市博物館方面,入間市駅方面,入間市博物館,https://mb.jorudan.co.jp//os/bus/1306/stop/45181.html,
error,None,None,None,None,109,西武バス,入市５３：準急,入間市駅～二本木地蔵前,二本木地蔵前方面,入間市駅方面,二本木地蔵前,https://mb.jorudan.co.jp//os/bus/1306/stop/46030.html,
