ID,バス会社名称,路線ID,停車順番,バス停名称,路線名称,緯度,経度,市区町村名
102,都営バス,5,2,関口一丁目,上58[都営バス],35.71055,139.724001,文京区
103,都営バス,5,3,鶴巻町,上58[都営バス],35.709888,139.726772,文京区
104,都営バス,5,4,江戸川橋,上58[都営バス],35.711332,139.73113,文京区
105,都営バス,5,5,音羽一丁目,上58[都営バス],35.713521,139.730107,文京区
106,都営バス,5,6,音羽二丁目,上58[都営バス],35.717834,139.727949,文京区
107,都営バス,5,7,護国寺正門前,上58[都営バス],35.720836,139.728917,文京区
108,都営バス,5,8,大塚三丁目,上58[都営バス],35.721631,139.732453,文京区
109,都営バス,5,9,千石三丁目,上58[都営バス],35.723208,139.736749,文京区
110,都営バス,5,10,千石二丁目(文京区),上58[都営バス],35.726069,139.740962,文京区
111,都営バス,5,11,千石一丁目(文京区),上58[都営バス],35.729135,139.744229,文京区
112,都営バス,5,12,文京グリーンコート前,上58[都営バス],35.730713,139.746767,文京区
113,都営バス,5,13,上富士前,上58[都営バス],35.732767,139.749811,文京区
114,都営バス,5,14,本駒込五丁目,上58[都営バス],35.733556,139.753831,文京区
115,都営バス,5,15,本駒込四丁目,上58[都営バス],35.733232,139.757023,文京区
116,都営バス,5,16,動坂下,上58[都営バス],35.731988,139.759094,文京区
117,都営バス,5,17,道灌山下,上58[都営バス],35.730318,139.761952,文京区
118,都営バス,5,18,千駄木三丁目,上58[都営バス],35.728119,139.763653,文京区
119,都営バス,5,19,団子坂下,上58[都営バス],35.724449,139.763045,文京区
120,都営バス,5,20,千駄木二丁目,上58[都営バス],35.722233,139.762402,文京区
121,都営バス,5,21,根津神社入口,上58[都営バス],35.720326,139.762908,文京区
122,都営バス,5,22,根津駅前,上58[都営バス],35.718279,139.764951,文京区
123,都営バス,5,23,池之端二丁目,上58[都営バス],35.715215,139.767539,台東区
124,都営バス,5,24,池之端一丁目,上58[都営バス],35.71224,139.768683,台東区
125,都営バス,5,25,上野公園(東京都),上58[都営バス],35.709534,139.771644,台東区
126,都営バス,5,26,上野松坂屋前,上58[都営バス],35.707551,139.772786,台東区
127,都営バス,6,1,池袋駅東口,上60[都営バス],35.730811,139.71267,豊島区
128,都営バス,6,2,Hareza池袋,上60[都営バス],35.732676,139.715072,豊島区
129,都営バス,6,3,六ツ又陸橋,上60[都営バス],35.732581,139.71876,豊島区
130,都営バス,6,4,東池袋二丁目,上60[都営バス],35.731577,139.720688,豊島区
131,都営バス,6,5,東池袋三丁目,上60[都営バス],35.730056,139.723514,豊島区
132,都営バス,6,6,向原(東京都),上60[都営バス],35.728914,139.725458,豊島区
133,都営バス,6,7,新大塚,上60[都営バス],35.726211,139.729547,豊島区
134,都営バス,6,8,大塚駅前(東京都),上60[都営バス],35.730909,139.729096,豊島区
135,都営バス,6,9,巣鴨小学校前,上60[都営バス],35.727539,139.733466,豊島区
136,都営バス,6,10,南大塚一丁目(東京都),上60[都営バス],35.725709,139.735423,豊島区
137,都営バス,6,11,千石三丁目,上60[都営バス],35.723869,139.737034,文京区
138,都営バス,6,12,湯立坂下,上60[都営バス],35.721106,139.740102,文京区
139,都営バス,6,13,白山三丁目,上60[都営バス],35.719425,139.741776,文京区
140,都営バス,6,14,白山二丁目(東京都),上60[都営バス],35.717174,139.745132,文京区
141,都営バス,6,15,小石川三丁目,上60[都営バス],35.715276,139.747925,文京区
142,都営バス,6,16,小石川二丁目,上60[都営バス],35.712439,139.75139,文京区
143,都営バス,6,17,春日駅前〔都営バス〕,上60[都営バス],35.708621,139.752546,文京区
144,都営バス,6,18,菊坂下,上60[都営バス],35.711476,139.754627,文京区
145,都営バス,6,19,本郷六丁目,上60[都営バス],35.713236,139.756601,文京区
146,都営バス,6,20,東大農学部前,上60[都営バス],35.715504,139.759472,文京区
147,都営バス,6,21,弥生二丁目(東京都),上60[都営バス],35.716421,139.762826,文京区
148,都営バス,6,22,根津駅前,上60[都営バス],35.717628,139.765594,文京区
149,都営バス,6,23,池之端二丁目,上60[都営バス],35.715215,139.767539,台東区
150,都営バス,6,24,池之端一丁目,上60[都営バス],35.71224,139.768683,台東区
151,都営バス,6,25,上野広小路,上60[都営バス],35.707969,139.772295,文京区
152,都営バス,6,26,上野公園(東京都),上60[都営バス],35.709673,139.771601,台東区
153,都営バス,7,1,小滝橋車庫前,上69(小滝橋車庫前-上野公園)[都営バス],35.710359,139.693351,中野区
154,都営バス,7,2,小滝橋〔都営バス〕,上69(小滝橋車庫前-上野公園)[都営バス],35.710041,139.694533,新宿区
155,都営バス,7,3,高田馬場四丁目〔都営バス〕,上69(小滝橋車庫前-上野公園)[都営バス],35.711524,139.696555,新宿区
156,都営バス,7,4,高田馬場三丁目,上69(小滝橋車庫前-上野公園)[都営バス],35.712317,139.699392,新宿区
157,都営バス,7,5,高田馬場駅前,上69(小滝橋車庫前-上野公園)[都営バス],35.713793,139.704173,新宿区
158,都営バス,7,6,新宿区社会福祉協議会前,上69(小滝橋車庫前-上野公園)[都営バス],35.71206,139.70758,新宿区
159,都営バス,7,7,高田馬場二丁目,上69(小滝橋車庫前-上野公園)[都営バス],35.711391,139.710815,新宿区
160,都営バス,7,8,西早稲田,上69(小滝橋車庫前-上野公園)[都営バス],35.709631,139.715779,新宿区
161,都営バス,7,9,甘泉園公園前,上69(小滝橋車庫前-上野公園)[都営バス],35.711474,139.716931,新宿区
162,都営バス,7,10,グランド坂下,上69(小滝橋車庫前-上野公園)[都営バス],35.71143,139.720847,新宿区
163,都営バス,7,11,早稲田(東京都),上69(小滝橋車庫前-上野公園)[都営バス],35.711071,139.722139,新宿区
164,都営バス,7,12,関口一丁目,上69(小滝橋車庫前-上野公園)[都営バス],35.71055,139.724001,文京区
165,都営バス,7,13,鶴巻町,上69(小滝橋車庫前-上野公園)[都営バス],35.709888,139.726772,文京区
166,都営バス,7,14,江戸川橋,上69(小滝橋車庫前-上野公園)[都営バス],35.710184,139.730342,文京区
167,都営バス,7,15,石切橋,上69(小滝橋車庫前-上野公園)[都営バス],35.709176,139.735413,文京区
168,都営バス,7,16,東五軒町,上69(小滝橋車庫前-上野公園)[都営バス],35.708696,139.738806,新宿区
169,都営バス,7,17,大曲(文京区),上69(小滝橋車庫前-上野公園)[都営バス],35.708033,139.744147,文京区
170,都営バス,7,18,伝通院前,上69(小滝橋車庫前-上野公園)[都営バス],35.709904,139.7461,文京区
171,都営バス,7,19,富坂上,上69(小滝橋車庫前-上野公園)[都営バス],35.709152,139.748887,文京区
172,都営バス,7,20,春日駅前〔都営バス〕,上69(小滝橋車庫前-上野公園)[都営バス],35.708621,139.752546,文京区
173,都営バス,7,21,真砂坂上,上69(小滝橋車庫前-上野公園)[都営バス],35.707464,139.757444,文京区
174,都営バス,7,22,本郷三丁目駅前,上69(小滝橋車庫前-上野公園)[都営バス],35.707543,139.759685,文京区
175,都営バス,7,23,湯島四丁目,上69(小滝橋車庫前-上野公園)[都営バス],35.707513,139.764766,文京区
176,都営バス,7,24,湯島三丁目,上69(小滝橋車庫前-上野公園)[都営バス],35.70846,139.768286,文京区
177,都営バス,7,25,上野広小路,上69(小滝橋車庫前-上野公園)[都営バス],35.708735,139.77307,台東区
178,都営バス,7,26,上野公園(東京都),上69(小滝橋車庫前-上野公園)[都営バス],35.709401,139.770912,台東区
179,都営バス,8,1,両国駅前,両28[都営バス],35.695244,139.792064,墨田区
180,都営バス,8,2,両国駅入口,両28[都営バス],35.694417,139.793033,墨田区
181,都営バス,8,3,両国四丁目,両28[都営バス],35.694542,139.795319,墨田区
182,都営バス,8,4,旧安田庭園前,両28[都営バス],35.698971,139.794122,墨田区
183,都営バス,8,5,都営両国駅前,両28[都営バス],35.697364,139.797268,墨田区
184,都営バス,8,6,緑一丁目(東京都),両28[都営バス],35.69472,139.798593,墨田区
185,都営バス,8,7,緑二丁目,両28[都営バス],35.694927,139.802116,墨田区
186,都営バス,8,8,緑三丁目(東京都),両28[都営バス],35.695167,139.806456,墨田区
187,都営バス,8,9,江東橋,両28[都営バス],35.69551,139.810366,墨田区
188,都営バス,8,10,錦糸町駅前,両28[都営バス],35.695733,139.814168,墨田区
189,都営バス,8,11,江東車庫前,両28[都営バス],35.696149,139.817585,墨田区
190,都営バス,8,12,亀戸一丁目,両28[都営バス],35.696495,139.820844,江東区
191,都営バス,8,13,亀戸駅前,両28[都営バス],35.697835,139.825749,江東区
192,都営バス,8,14,亀戸駅通り,両28[都営バス],35.695619,139.825991,江東区
193,都営バス,8,15,五ノ橋,両28[都営バス],35.692398,139.826234,江東区
194,都営バス,8,16,西大島駅前,両28[都営バス],35.689023,139.826517,江東区
195,都営バス,8,17,大島一丁目(東京都),両28[都営バス],35.686545,139.826735,江東区
196,都営バス,8,18,北砂三丁目,両28[都営バス],35.68183,139.827576,江東区
197,都営バス,8,19,北砂二丁目,両28[都営バス],35.679563,139.827606,江東区
198,都営バス,8,20,境川(東京都),両28[都営バス],35.677101,139.827911,江東区
199,都営バス,8,21,北砂四丁目,両28[都営バス],35.676722,139.831092,江東区
200,都営バス,8,22,亀高橋,両28[都営バス],35.676295,139.834501,江東区
201,都営バス,8,23,東砂四丁目,両28[都営バス],35.675821,139.838232,江東区
202,都営バス,8,24,旧葛西橋,両28[都営バス],35.675479,139.840845,江東区
203,都営バス,8,25,東砂六丁目北,両28[都営バス],35.674139,139.842824,江東区
204,都営バス,8,26,葛西橋,両28[都営バス],35.672082,139.842452,江東区
205,都営バス,8,27,東砂六丁目,両28[都営バス],35.672895,139.840869,江東区
206,都営バス,8,28,葛西橋東詰,両28[都営バス],35.670721,139.854157,江戸川区
207,都営バス,8,29,宇喜田,両28[都営バス],35.670186,139.857698,江戸川区
208,都営バス,8,30,稲荷神社前(江戸川区),両28[都営バス],35.669501,139.862155,江戸川区
209,都営バス,8,31,第六葛西小学校前,両28[都営バス],35.667178,139.865616,江戸川区
210,都営バス,8,32,スポーツセンター前(江戸川区),両28[都営バス],35.66734,139.860167,江戸川区
211,都営バス,8,33,西葛西駅前,両28[都営バス],35.664343,139.859217,江戸川区
212,都営バス,8,34,第七葛西小学校前,両28[都営バス],35.658891,139.859139,江戸川区
213,都営バス,8,35,新田住宅,両28[都営バス],35.657376,139.861212,江戸川区
214,都営バス,8,36,中葛西七丁目,両28[都営バス],35.656174,139.863876,江戸川区
215,都営バス,8,37,中左近橋,両28[都営バス],35.652623,139.863599,江戸川区
216,都営バス,8,38,中央卸売市場葛西市場前,両28[都営バス],35.64957,139.862393,江戸川区
217,都営バス,8,39,臨海町三丁目,両28[都営バス],35.648263,139.860642,江戸川区
218,都営バス,8,40,臨海車庫前,両28[都営バス],35.647389,139.85946,江戸川区
219,都営バス,8,41,臨海車庫,両28[都営バス],35.646976,139.858932,江戸川区
220,都営バス,9,1,両国駅前,両28〔日曹橋経由〕[都営バス],35.695244,139.792064,墨田区
221,都営バス,9,2,両国駅入口,両28〔日曹橋経由〕[都営バス],35.694417,139.793033,墨田区
222,都営バス,9,3,両国四丁目,両28〔日曹橋経由〕[都営バス],35.694542,139.795319,墨田区
223,都営バス,9,4,旧安田庭園前,両28〔日曹橋経由〕[都営バス],35.698971,139.794122,墨田区
224,都営バス,9,5,都営両国駅前,両28〔日曹橋経由〕[都営バス],35.697364,139.797268,墨田区
225,都営バス,9,6,緑一丁目(東京都),両28〔日曹橋経由〕[都営バス],35.69472,139.798593,墨田区
226,都営バス,9,7,緑二丁目,両28〔日曹橋経由〕[都営バス],35.694927,139.802116,墨田区
227,都営バス,9,8,緑三丁目(東京都),両28〔日曹橋経由〕[都営バス],35.695167,139.806456,墨田区
228,都営バス,9,9,江東橋,両28〔日曹橋経由〕[都営バス],35.69551,139.810366,墨田区
229,都営バス,9,10,錦糸町駅前,両28〔日曹橋経由〕[都営バス],35.695733,139.814168,墨田区
230,都営バス,9,11,江東車庫前,両28〔日曹橋経由〕[都営バス],35.696149,139.817585,墨田区
231,都営バス,9,12,亀戸一丁目,両28〔日曹橋経由〕[都営バス],35.696495,139.820844,江東区
232,都営バス,9,13,亀戸駅通り,両28〔日曹橋経由〕[都営バス],35.695619,139.825991,江東区
233,都営バス,9,14,五ノ橋,両28〔日曹橋経由〕[都営バス],35.692398,139.826234,江東区
234,都営バス,9,15,西大島駅前,両28〔日曹橋経由〕[都営バス],35.689023,139.826517,江東区
235,都営バス,9,16,大島一丁目(東京都),両28〔日曹橋経由〕[都営バス],35.686545,139.826735,江東区
236,都営バス,9,17,北砂三丁目,両28〔日曹橋経由〕[都営バス],35.68183,139.827576,江東区
237,都営バス,9,18,北砂二丁目,両28〔日曹橋経由〕[都営バス],35.679563,139.827606,江東区
238,都営バス,9,19,境川(東京都),両28〔日曹橋経由〕[都営バス],35.676593,139.827155,江東区
239,都営バス,9,20,南砂三丁目,両28〔日曹橋経由〕[都営バス],35.673019,139.826566,江東区
240,都営バス,9,21,日曹橋,両28〔日曹橋経由〕[都営バス],35.671114,139.826141,江東区
241,都営バス,9,22,南砂町駅入口,両28〔日曹橋経由〕[都営バス],35.667505,139.831492,江東区
242,都営バス,9,23,新砂三丁目アパート,両28〔日曹橋経由〕[都営バス],35.666455,139.833916,江東区
243,都営バス,9,24,江東高齢者医療センター入口,両28〔日曹橋経由〕[都営バス],35.666768,139.833811,江東区
244,都営バス,9,25,清砂大橋西,両28〔日曹橋経由〕[都営バス],35.665824,139.837215,江東区
245,都営バス,9,26,清新町健康サポートセンター前,両28〔日曹橋経由〕[都営バス],35.663132,139.856205,江戸川区
246,都営バス,9,27,西葛西駅南,両28〔日曹橋経由〕[都営バス],35.661389,139.858529,江戸川区
247,都営バス,9,28,第七葛西小学校前,両28〔日曹橋経由〕[都営バス],35.658891,139.859139,江戸川区
248,都営バス,9,29,新田住宅,両28〔日曹橋経由〕[都営バス],35.657376,139.861212,江戸川区
249,都営バス,9,30,中葛西七丁目,両28〔日曹橋経由〕[都営バス],35.656174,139.863876,江戸川区
250,都営バス,9,31,中左近橋,両28〔日曹橋経由〕[都営バス],35.652623,139.863599,江戸川区
251,都営バス,9,32,中央卸売市場葛西市場前,両28〔日曹橋経由〕[都営バス],35.64957,139.862393,江戸川区
252,都営バス,9,33,臨海町三丁目,両28〔日曹橋経由〕[都営バス],35.648263,139.860642,江戸川区
253,都営バス,9,34,臨海車庫前,両28〔日曹橋経由〕[都営バス],35.647389,139.85946,江戸川区
254,都営バス,9,35,臨海車庫,両28〔日曹橋経由〕[都営バス],35.646976,139.858932,江戸川区
255,都営バス,10,1,東陽町駅前,亀21[都営バス],35.669742,139.81686,江東区
256,都営バス,10,2,江東運転免許試験場前,亀21[都営バス],35.669937,139.821752,江東区
257,都営バス,10,3,日曹橋,亀21[都営バス],35.670803,139.825857,江東区
258,都営バス,10,4,南砂三丁目,亀21[都営バス],35.672986,139.826342,江東区
259,都営バス,10,5,福島橋(東京都),亀21[都営バス],35.672767,139.829445,江東区
260,都営バス,10,6,学校通り,亀21[都営バス],35.671857,139.83197,江東区
261,都営バス,10,7,南砂六丁目,亀21[都営バス],35.671095,139.834164,江東区
262,都営バス,10,8,元八幡(東京都),亀21[都営バス],35.669859,139.837608,江東区
263,都営バス,10,9,袖ヶ浦,亀21[都営バス],35.669826,139.841044,江東区
264,都営バス,10,10,東砂六丁目,亀21[都営バス],35.671484,139.840847,江東区
265,都営バス,10,11,旧葛西橋,亀21[都営バス],35.674867,139.840473,江東区
266,都営バス,10,12,東砂四丁目,亀21[都営バス],35.67573,139.837236,江東区
267,都営バス,10,13,亀高橋,亀21[都営バス],35.676679,139.833791,江東区
268,都営バス,10,14,北砂七丁目,亀21[都営バス],35.679537,139.834652,江東区
269,都営バス,10,15,北砂五丁目,亀21[都営バス],35.681911,139.83535,江東区
270,都営バス,10,16,北砂六丁目,亀21[都営バス],35.683993,139.835944,江東区
271,都営バス,10,17,大島五丁目(東京都),亀21[都営バス],35.688001,139.836131,江東区
272,都営バス,10,18,大島駅前,亀21[都営バス],35.690284,139.835511,江東区
273,都営バス,10,19,城東特別支援学校前,亀21[都営バス],35.692093,139.834909,江東区
274,都営バス,10,20,竪川大橋北詰,亀21[都営バス],35.695107,139.834047,江東区
275,都営バス,10,21,亀戸六丁目,亀21[都営バス],35.696833,139.832302,江東区
276,都営バス,10,22,水神森,亀21[都営バス],35.696567,139.828721,江東区
277,都営バス,10,23,亀戸駅前,亀21[都営バス],35.697755,139.825306,江東区
278,都営バス,11,1,亀戸駅前,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],35.697835,139.825749,江東区
279,都営バス,11,2,亀戸駅通り,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],35.695619,139.825991,江東区
280,都営バス,11,3,五ノ橋,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],35.692398,139.826234,江東区
281,都営バス,11,4,西大島駅前,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],35.688695,139.826538,江東区
282,都営バス,11,5,大島一丁目(東京都),亀23(亀戸駅前-江東高齢者医療センター)[都営バス],35.686545,139.826735,江東区
283,都営バス,11,6,小名木川小学校入口,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],35.683969,139.829721,江東区
284,都営バス,11,7,北砂五丁目団地,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],35.684182,139.832765,江東区
285,都営バス,11,8,北砂六丁目,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],35.683498,139.836085,江東区
286,都営バス,11,9,北砂五丁目,亀23(亀戸駅前-江東高齢者医療センター)[都営バス],35.682028,139.835666,江東区
