,ID,バス会社名称,路線ID,停車順番,バス停名称,路線名称,緯度,経度,市区町村名
11787,31067.0,高速バス,2007.0,2.0,VIPラウンジ東京駅八重洲北口,アクアスター〔首都圏-京阪〕[VIPライナー(高速バス)],35.680893,139.772842,中央区
11786,31060.0,高速バス,2006.0,4.0,VIPラウンジ東京駅八重洲北口,VIPライナー5便[VIPライナー(高速バス)],35.681773,139.771306,中央区
11784,31052.0,高速バス,2005.0,4.0,VIPラウンジ東京駅八重洲北口,VIPライナー6便[VIPライナー(高速バス)],35.681773,139.771306,中央区
11783,31052.0,高速バス,2005.0,4.0,VIPラウンジ東京駅八重洲北口,VIPライナー6便[VIPライナー(高速バス)],35.681773,139.771306,中央区
11782,31049.0,高速バス,2005.0,1.0,VIPラウンジ東京駅八重洲北口,VIPライナー6便[VIPライナー(高速バス)],35.681773,139.771306,中央区
11781,31049.0,高速バス,2005.0,1.0,VIPラウンジ東京駅八重洲北口,VIPライナー6便[VIPライナー(高速バス)],35.681773,139.771306,中央区
11779,31044.0,高速バス,2004.0,5.0,VIPラウンジ東京駅八重洲北口,VIPライナー3便[VIPライナー(高速バス)],35.681773,139.771306,中央区
11778,31041.0,高速バス,2004.0,2.0,VIPラウンジ東京駅八重洲北口,VIPライナー3便[VIPライナー(高速バス)],35.681773,139.771306,中央区
11780,31044.0,高速バス,2004.0,5.0,VIPラウンジ東京駅八重洲北口,VIPライナー3便[VIPライナー(高速バス)],35.681773,139.771306,中央区
11789,31074.0,高速バス,2008.0,2.0,VIPラウンジ東京駅八重洲北口,VIPライナー〔首都圏-金沢〕[VIPライナー(高速バス)],35.681773,139.771306,中央区
11772,31026.0,高速バス,2002.0,3.0,VIPラウンジ東京駅八重洲北口,プルメリアグランデ<女性専用>[VIPライナー(高速バス)],35.681773,139.771306,中央区
11766,31004.0,高速バス,1999.0,5.0,VIPラウンジ東京駅八重洲北口,VIPライナー1・2便[VIPライナー(高速バス)],35.681773,139.771306,中央区
11762,30994.0,高速バス,1998.0,3.0,VIPラウンジ東京駅八重洲北口,グランシア〔首都圏-京阪〕[VIPライナー(高速バス)],35.681773,139.771306,中央区
11755,30973.0,高速バス,1995.0,3.0,VIPラウンジ東京駅八重洲北口,チェリッシュ(関西)<女性専用>[VIPライナー(高速バス)],35.681773,139.771306,中央区
11752,30965.0,高速バス,1994.0,2.0,VIPラウンジ東京駅八重洲北口,グランシアファースト〔大宮-天王寺〕[VIPライナー(高速バス)],35.681773,139.771306,中央区
11777,31041.0,高速バス,2004.0,2.0,VIPラウンジ東京駅八重洲北口,VIPライナー3便[VIPライナー(高速バス)],35.681773,139.771306,中央区
9200,24682.0,東武バス,1557.0,8.0,あいぐみ公園前,六18:六町-花畑桑袋[東武バス],35.804099,139.815254,足立区
9224,24706.0,東武バス,1558.0,16.0,あいぐみ公園前,六18・六19:文教大学循環[東武バス],35.804119,139.815368,足立区
9240,24722.0,東武バス,1559.0,16.0,あいぐみ公園前,六19・六20:花畑団地循環[東武バス],35.804119,139.815368,足立区
9272,24754.0,東武バス,1561.0,15.0,あいぐみ公園前,北11:文教大学[東武バス],35.804119,139.815368,足立区
12065,31380.0,中央区,2032.0,10.0,あかつき公園,南循環〔中央区役所→勝どき駅〕[江戸バス(中央区)],35.666735,139.775626,中央区
6342,12149.0,練馬区,735.0,31.0,あかね雲公園,保谷ルート[みどりバス],35.760204,139.630511,練馬区
11283,27369.0,練馬区,1733.0,3.0,あかね雲公園,北町ルート[みどりバス],35.76006,139.630417,練馬区
11314,27400.0,練馬区,1735.0,2.0,あかね雲公園,氷川台ルート[みどりバス],35.760234,139.630541,練馬区
6152,11144.0,西武バス（株）,690.0,2.0,あかね雲公園,土支田循環〔光が丘高校角経由〕[西武バス/国際興業バス],35.760053,139.630414,練馬区
5906,10222.0,西武バス（株）,646.0,16.0,あたご橋,吉60他[西武バス],35.732994,139.590386,練馬区
6029,10897.0,西武バス（株）,678.0,7.0,あたご橋,西03[西武バス/関東バス],35.73318,139.590368,練馬区
6087,10989.0,西武バス（株）,683.0,4.0,あたご橋,泉33/泉34/泉35/泉37[西武バス],35.732994,139.590386,練馬区
12709,33303.0,足立区,2155.0,2.0,あだち産業芸術プラザ入口,[椿04]はるかぜ11号〔堀之内方面〕[新日本観光自動車],35.74661,139.800345,足立区
12625,33219.0,足立区,2150.0,2.0,あだち産業芸術プラザ入口,[鹿02]はるかぜ6号[新日本観光自動車],35.74661,139.800345,足立区
12650,33244.0,足立区,2151.0,2.0,あだち産業芸術プラザ入口,[宮03]はるかぜ8号〔江南公園方面〕[新日本観光自動車],35.746625,139.800646,足立区
9971,25736.0,京成バス（株）,1630.0,12.0,あやめ橋,森50:大森-東邦大-蒲田[京急バス],35.562727,139.720926,大田区
10045,25808.0,京成バス（株）,1636.0,2.0,あやめ橋,蒲36:蒲田-森ヶ崎[京急バス],35.562925,139.720982,大田区
9990,25755.0,京成バス（株）,1632.0,2.0,あやめ橋,蒲31他:蒲田-日ノ出-羽田空港[京急バス],35.562925,139.720982,大田区
10095,25856.0,京成バス（株）,1639.0,2.0,あやめ橋,蒲67:大森東五丁目-蒲田駅[京急バス],35.562925,139.720982,大田区
10020,25783.0,京成バス（株）,1634.0,2.0,あやめ橋,蒲33:蒲田-大鳥居-羽田車庫[京急バス],35.562925,139.720982,大田区
10031,25794.0,京成バス（株）,1635.0,2.0,あやめ橋,蒲35:蒲田駅-東糀谷六[京急バス],35.562925,139.720982,大田区
12755,26061.0,国際興業（株）,1658.0,7.0,いかづち公園前,[西11]はるかぜ3号:西新井駅-見沼代親水公園駅[国際興業バス],35.785145,139.783566,足立区
10277,26061.0,国際興業（株）,1658.0,7.0,いかづち公園前,[西11]はるかぜ3号:西新井駅-見沼代親水公園駅[国際興業バス],35.785145,139.783566,足立区
12184,31499.0,千代田区,2039.0,21.0,いきいきプラザ一番町,麹町ルート[風ぐるま(千代田区)],35.687291,139.739681,千代田区
12253,31563.0,千代田区,2042.0,9.0,いきいきプラザ一番町,富士見・神保町ルート[風ぐるま(千代田区)],35.687291,139.739681,千代田区
9664,25437.0,京成バス（株）,1606.0,3.0,いすゞ病院前,井19:レジャーランド-大井町駅(大森-大井町)[京急バス],35.589163,139.732685,品川区
12713,33307.0,足立区,2155.0,6.0,いずみ記念病院,[椿04]はるかぜ11号〔堀之内方面〕[新日本観光自動車],35.760282,139.785441,足立区
12750,33344.0,足立区,2156.0,23.0,いずみ記念病院,[椿04]はるかぜ11号〔北千住駅西口方面〕[新日本観光自動車],35.760271,139.783408,足立区
12631,33225.0,足立区,2150.0,8.0,いずみ記念病院入口,[鹿02]はるかぜ6号[新日本観光自動車],35.760295,139.785536,足立区
9147,24629.0,東武バス,1554.0,5.0,いずみ記念病院入口,北05:北千住-江北駅[東武バス],35.759847,139.782671,足立区
9112,24594.0,東武バス,1551.0,5.0,いずみ記念病院前,北01:北千住-本木新道-大師[東武バス],35.761221,139.785687,足立区
12756,24594.0,東武バス,1551.0,5.0,いずみ記念病院前,北01:北千住-本木新道-大師[東武バス],35.761221,139.785687,足立区
11373,27453.0,板橋区,1737.0,5.0,おいせ坂上,りんりんGO〔おいせ坂上経由〕[板橋区コミュニティバス],35.774438,139.655493,板橋区
10448,26490.0,国際興業（株）,1679.0,9.0,おいせ坂上,下赤03:下赤塚駅-おいせ坂上-高島平操車場[国際興業バス],35.774507,139.655614,板橋区
11485,29935.0,,1887.0,12.0,お台場学園前,品川・台場循環〔品川方面〕[お台場レインボーバス],35.634434,139.776338,港区
11457,29919.0,,1886.0,12.0,お台場学園前,品川・台場循環〔台場方面〕[お台場レインボーバス],35.634434,139.776338,港区
11484,29934.0,,1887.0,11.0,お台場海浜公園駅前,品川・台場循環〔品川方面〕[お台場レインボーバス],35.629606,139.778073,港区
1443,1855.0,都営バス,92.0,22.0,お台場海浜公園駅前,海01[都営バス],35.629529,139.778455,港区
10216,25984.0,高速バス,1651.0,5.0,お台場海浜公園駅前,東京-神奈川/お台場-横浜[高速バス],35.629529,139.778455,港区
10217,25984.0,高速バス,1651.0,5.0,お台場海浜公園駅前,東京-神奈川/お台場-横浜[高速バス],35.629529,139.778455,港区
11443,29911.0,,1886.0,4.0,お台場海浜公園駅前,品川・台場循環〔台場方面〕[お台場レインボーバス],35.629539,139.778357,港区
3658,4079.0,都営バス,220.0,13.0,お台場海浜公園駅前,陽12-3[都営バス],35.629529,139.778455,港区
11444,29911.0,,1886.0,4.0,お台場海浜公園駅前,品川・台場循環〔台場方面〕[お台場レインボーバス],35.629539,139.778357,港区
10224,25988.0,高速バス,1651.0,9.0,お台場海浜公園駅前,東京-神奈川/お台場-横浜[高速バス],35.629529,139.778455,港区
11455,29918.0,,1886.0,11.0,お台場海浜公園駅前,品川・台場循環〔台場方面〕[お台場レインボーバス],35.629539,139.778357,港区
11483,29934.0,,1887.0,11.0,お台場海浜公園駅前,品川・台場循環〔品川方面〕[お台場レインボーバス],35.629606,139.778073,港区
11456,29918.0,,1886.0,11.0,お台場海浜公園駅前,品川・台場循環〔台場方面〕[お台場レインボーバス],35.629539,139.778357,港区
11471,29927.0,,1887.0,4.0,お台場海浜公園駅前,品川・台場循環〔品川方面〕[お台場レインボーバス],35.629606,139.778073,港区
11472,29927.0,,1887.0,4.0,お台場海浜公園駅前,品川・台場循環〔品川方面〕[お台場レインボーバス],35.629606,139.778073,港区
10223,25988.0,高速バス,1651.0,9.0,お台場海浜公園駅前,東京-神奈川/お台場-横浜[高速バス],35.629529,139.778455,港区
12000,31315.0,葛飾区,2027.0,5.0,お花茶屋駅,有71・有72[レインボーかつしか(葛飾区)],35.74683,139.840612,葛飾区
12376,31677.0,葛飾区,2048.0,14.0,お花茶屋駅,有71〔新宿循環〕[レインボーかつしか(葛飾区)],35.748013,139.841191,葛飾区
3190,3610.0,都営バス,183.0,16.0,かえつ学園西,都05-2[都営バス],35.639631,139.793466,江東区
1079,1092.0,都営バス,61.0,28.0,かえつ学園西,東16(東京駅八重洲口-東京ビッグサイト)[都営バス],35.639631,139.793466,江東区
3532,3950.0,都営バス,208.0,16.0,かえつ学園西,深夜13[都営バス],35.639631,139.793466,江東区
1438,1850.0,都営バス,92.0,17.0,かえつ学園西,海01[都営バス],35.639631,139.793466,江東区
12218,31530.0,千代田区,2041.0,2.0,かがやきプラザ[九段坂病院],内神田ルート[風ぐるま(千代田区)],35.693979,139.752305,千代田区
12246,31556.0,千代田区,2042.0,2.0,かがやきプラザ[九段坂病院],富士見・神保町ルート[風ぐるま(千代田区)],35.693979,139.752305,千代田区
12190,31504.0,千代田区,2040.0,2.0,かがやきプラザ[九段坂病院],秋葉原ルート[風ぐるま(千代田区)],35.693979,139.752305,千代田区
12165,31480.0,千代田区,2039.0,2.0,かがやきプラザ[九段坂病院],麹町ルート[風ぐるま(千代田区)],35.693979,139.752305,千代田区
9557,25192.0,東武バス,1582.0,6.0,かっぱ橋道具街入口,スカイツリーシャトル:上野・浅草〔JR上野駅公園口行〕[東武バス],35.717916,139.78984,台東区
12757,22239.0,関東バス（株）,1367.0,18.0,かみのね橋,赤31:赤羽駅-大和町-高円寺駅[国際興業バス/関東バス],35.75094,139.682479,板橋区
8325,22239.0,関東バス（株）,1367.0,18.0,かみのね橋,赤31:赤羽駅-大和町-高円寺駅[国際興業バス/関東バス],35.75094,139.682479,板橋区
10894,26946.0,国際興業（株）,1705.0,12.0,かみのね橋,池55:池袋駅-小茂根五丁目[国際興業バス],35.75143,139.681905,板橋区
12228,31540.0,千代田区,2041.0,12.0,かんだ連雀,内神田ルート[風ぐるま(千代田区)],35.696604,139.768511,千代田区
3731,4154.0,渋谷区,228.0,3.0,かんなみの杜・渋谷,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],35.664641,139.701499,渋谷区
5273,5777.0,渋谷区,330.0,3.0,かんなみの杜・渋谷,神宮の杜ルート〔渋谷駅行〕[ハチ公バス],35.664641,139.701499,渋谷区
3771,4194.0,渋谷区,229.0,17.0,かんなみの杜・渋谷,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],35.664918,139.701363,渋谷区
2866,3295.0,都営バス,164.0,3.0,がん研有明病院前,門19[都営バス],35.633504,139.794424,江東区
2872,3299.0,都営バス,164.0,7.0,がん研有明病院前,門19[都営バス],35.633504,139.794424,江東区
2873,3299.0,都営バス,164.0,7.0,がん研有明病院前,門19[都営バス],35.633504,139.794424,江東区
2865,3295.0,都営バス,164.0,3.0,がん研有明病院前,門19[都営バス],35.633504,139.794424,江東区
2712,3142.0,都営バス,157.0,21.0,がん研有明病院前,錦18[都営バス],35.633504,139.794424,江東区
12758,2659.0,都営バス,131.0,7.0,くすのきカルチャーセンター前,西葛26[都営バス],35.67293,139.861951,江戸川区
2228,2659.0,都営バス,131.0,7.0,くすのきカルチャーセンター前,西葛26[都営バス],35.67293,139.861951,江戸川区
4584,5032.0,東急バス（株）,279.0,7.0,けこぼ坂上,渋71[東急バス],35.638928,139.698026,目黒区
4124,4570.0,東急バス（株）,251.0,5.0,けこぼ坂上,恵32[東急バス],35.638928,139.698026,目黒区
12759,18057.0,京成バス（株）,1104.0,3.0,けんちの苑,汐入さくら[南千03][京成バス],35.730678,139.801495,荒川区
7217,18057.0,京成バス（株）,1104.0,3.0,けんちの苑,汐入さくら[南千03][京成バス],35.730678,139.801495,荒川区
7667,19531.0,小田急バス（株）,1195.0,7.0,こまえ苑,狛12[小田急バス],35.625419,139.593406,世田谷区
12760,19531.0,小田急バス（株）,1195.0,7.0,こまえ苑,狛12[小田急バス],35.625419,139.593406,世田谷区
11916,31231.0,文京区,2023.0,3.0,こんにゃくえんま,目白台・小日向ルート〔シビックセンター方面〕[Bーぐる(文京区)],35.711387,139.751669,文京区
7162,18004.0,京成バス（株）,1101.0,3.0,さかえ児童遊園,金01<アイリスループ>[飯塚小学校入口-金町駅北口][京成バス],35.776592,139.862007,葛飾区
5277,5781.0,品川区,331.0,2.0,さくら会前,西大井駅-大森駅北口[しなバス],35.59451,139.734343,品川区
7225,18065.0,京成バス（株）,1104.0,11.0,さくら保育園,汐入さくら[南千03][京成バス],35.736612,139.805055,荒川区
7266,18130.0,京成バス（株）,1111.0,10.0,さくら保育園,北千01/北千02/南千03[京成バス],35.736553,139.805054,荒川区
12761,17890.0,京成バス（株）,1094.0,14.0,さくら公園入口,篠01[京成バス],35.707017,139.890238,江戸川区
7060,17890.0,京成バス（株）,1094.0,14.0,さくら公園入口,篠01[京成バス],35.707017,139.890238,江戸川区
9733,25504.0,京成バス（株）,1611.0,6.0,しながわ区民公園,森22:大森-八潮[京急バス],35.596498,139.739937,品川区
12762,25504.0,京成バス（株）,1611.0,6.0,しながわ区民公園,森22:大森-八潮[京急バス],35.596498,139.739937,品川区
9810,25581.0,京成バス（株）,1617.0,9.0,しながわ水族館前,森30:お台場→大森海岸駅→大森駅[京急バス],35.590857,139.736327,品川区
9731,25502.0,京成バス（株）,1611.0,4.0,しながわ水族館前,森22:大森-八潮[京急バス],35.589508,139.73566,品川区
7243,18083.0,京成バス（株）,1106.0,6.0,しばられ地蔵,金63[水元かわせみの里-水元公園-金町駅][京成バス],35.77798,139.869752,葛飾区
7105,17937.0,京成バス（株）,1097.0,6.0,しばられ地蔵,金61[京成バス],35.777695,139.869928,葛飾区
