市区町村名,緯度,緯度,経度,経度,区内バス停ID,会社名称,路線名称,どこからどこまで,行き方面,帰り方面,バス停名称,url,同じバス停
台東区,35.71140306,35.71140306,139.7752986,139.7752986,35,都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,上野駅前,https://mb.jorudan.co.jp//os/bus/1301/stop/41048.html,
台東区,35.71113222,35.71113222,139.7743678,139.7743678,36,都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,上野公園山下,https://mb.jorudan.co.jp//os/bus/1301/stop/40555.html,
台東区,35.70698944,35.70698944,139.7725672,139.7725672,37,都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,上野松坂屋前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,
江戸川区,35.7143825,35.7143825,139.8362728,139.8362728,38,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,中平井,https://mb.jorudan.co.jp//os/bus/1301/stop/41645.html,
墨田区,35.71631278,35.71631278,139.8330225,139.8330225,39,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,平井七丁目第三アパート前,https://mb.jorudan.co.jp//os/bus/1301/stop/40734.html,
墨田区,35.71835361,35.71835361,139.8343347,139.8343347,40,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,東墨田一丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41210.html,
墨田区,35.72105056,35.72105056,139.8324122,139.8324122,41,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,東墨田三丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41222.html,
墨田区,35.72175611,35.72175611,139.8309017,139.8309017,42,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,東墨田会館前,https://mb.jorudan.co.jp//os/bus/1301/stop/41698.html,
墨田区,35.71869694,35.71869694,139.8298031,139.8298031,43,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,東墨田二丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/40558.html,
墨田区,35.715485,35.715485,139.8282467,139.8282467,44,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,社会福祉会館前,https://mb.jorudan.co.jp//os/bus/1301/stop/40544.html,
墨田区,35.71301722,35.71301722,139.8266983,139.8266983,45,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,八広二丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41739.html,
墨田区,35.71229583,35.71229583,139.8247217,139.8247217,46,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,中居堀,https://mb.jorudan.co.jp//os/bus/1301/stop/41035.html,
墨田区,35.71094917,35.71094917,139.8206478,139.8206478,47,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,文花三丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41286.html,
墨田区,35.70806139,35.70806139,139.8173061,139.8173061,48,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,十間橋通り,https://mb.jorudan.co.jp//os/bus/1301/stop/41753.html,
墨田区,35.70883194,35.70883194,139.8121028,139.8121028,49,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,十間橋,https://mb.jorudan.co.jp//os/bus/1301/stop/41847.html,
墨田区,35.70867944,35.70867944,139.8090511,139.8090511,50,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,押上,https://mb.jorudan.co.jp//os/bus/1301/stop/41072.html,
墨田区,35.70837056,35.70837056,139.8035119,139.8035119,51,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,とうきょうスカイツリー駅入口,https://mb.jorudan.co.jp//os/bus/1301/stop/40782.html,
墨田区,35.71054861,35.71054861,139.8019708,139.8019708,52,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,本所吾妻橋,https://mb.jorudan.co.jp//os/bus/1301/stop/40887.html,
台東区,35.71088056,35.71088056,139.7955317,139.7955317,53,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,リバーピア吾妻橋前,https://mb.jorudan.co.jp//os/bus/1301/stop/41178.html,
台東区,35.71116278,35.71116278,139.7931972,139.7931972,54,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,浅草雷門,https://mb.jorudan.co.jp//os/bus/1301/stop/41894.html,
台東区,35.70967722,35.70967722,139.7905078,139.7905078,55,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,浅草一丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/40621.html,
台東区,35.71028167,35.71028167,139.7874903,139.7874903,56,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,浅草寿町,https://mb.jorudan.co.jp//os/bus/1301/stop/41642.html,
台東区,35.71106361,35.71106361,139.7845147,139.7845147,57,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,菊屋橋,https://mb.jorudan.co.jp//os/bus/1301/stop/40998.html,
台東区,35.71146028,35.71146028,139.7809139,139.7809139,58,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,東上野六丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41110.html,
台東区,35.71140306,35.71140306,139.7752986,139.7752986,59,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,下谷神社前,https://mb.jorudan.co.jp//os/bus/1301/stop/41048.html,
台東区,35.71113222,35.71113222,139.7743678,139.7743678,60,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,上野駅前,https://mb.jorudan.co.jp//os/bus/1301/stop/40555.html,
台東区,35.70698944,35.70698944,139.7725672,139.7725672,61,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,上野公園山下,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,
江戸川区,35.70665389,35.70665389,139.8418878,139.8418878,62,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,上野松坂屋前,https://mb.jorudan.co.jp//os/bus/1301/stop/41911.html,
墨田区,35.71631278,35.71631278,139.8330225,139.8330225,63,都バス２３区,上２３,平井駅前～上野松坂屋前,平井操車所方面,平井駅前方面,平井西袋,https://mb.jorudan.co.jp//os/bus/1301/stop/40734.html,
墨田区,35.71835361,35.71835361,139.8343347,139.8343347,64,都バス２３区,上２３,平井駅前～上野松坂屋前,平井操車所方面,平井駅前方面,平井操車所,https://mb.jorudan.co.jp//os/bus/1301/stop/41210.html,
墨田区,35.71835361,35.71835361,139.8343347,139.8343347,65,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,平井操車所方面,平井西袋,https://mb.jorudan.co.jp//os/bus/1301/stop/41210.html,
墨田区,35.72105056,35.72105056,139.8324122,139.8324122,66,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,平井操車所方面,平井操車所,https://mb.jorudan.co.jp//os/bus/1301/stop/41222.html,
墨田区,35.72175611,35.72175611,139.8309017,139.8309017,67,都バス２３区,上２３,平井駅前～上野松坂屋前,青戸車庫前方面,平井駅前方面,八広六丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41698.html,
墨田区,35.71869694,35.71869694,139.8298031,139.8298031,68,都バス２３区,上２３,平井駅前～上野松坂屋前,青戸車庫前方面,平井駅前方面,八広,https://mb.jorudan.co.jp//os/bus/1301/stop/40558.html,
墨田区,35.715485,35.715485,139.8282467,139.8282467,69,都バス２３区,上２３,平井駅前～上野松坂屋前,青戸車庫前方面,平井駅前方面,四ッ木橋南詰,https://mb.jorudan.co.jp//os/bus/1301/stop/40544.html,
墨田区,35.71301722,35.71301722,139.8266983,139.8266983,70,都バス２３区,上２３,平井駅前～上野松坂屋前,青戸車庫前方面,平井駅前方面,四ッ木橋,https://mb.jorudan.co.jp//os/bus/1301/stop/41739.html,
墨田区,35.71229583,35.71229583,139.8247217,139.8247217,71,都バス２３区,上２３,平井駅前～上野松坂屋前,青戸車庫前方面,平井駅前方面,よつぎ小学校前,https://mb.jorudan.co.jp//os/bus/1301/stop/41035.html,
墨田区,35.71094917,35.71094917,139.8206478,139.8206478,72,都バス２３区,上２３,平井駅前～上野松坂屋前,青戸車庫前方面,平井駅前方面,葛飾警察署前,https://mb.jorudan.co.jp//os/bus/1301/stop/41286.html,
墨田区,35.70806139,35.70806139,139.8173061,139.8173061,73,都バス２３区,上２３,平井駅前～上野松坂屋前,青戸車庫前方面,平井駅前方面,梅田小学校前,https://mb.jorudan.co.jp//os/bus/1301/stop/41753.html,
墨田区,35.70883194,35.70883194,139.8121028,139.8121028,74,都バス２３区,上２３,平井駅前～上野松坂屋前,青戸車庫前方面,平井駅前方面,青戸車庫前,https://mb.jorudan.co.jp//os/bus/1301/stop/41847.html,
墨田区,35.71869694,35.71869694,139.8298031,139.8298031,75,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,青戸車庫前方面,八広六丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/40558.html,
墨田区,35.715485,35.715485,139.8282467,139.8282467,76,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,青戸車庫前方面,八広,https://mb.jorudan.co.jp//os/bus/1301/stop/40544.html,
墨田区,35.71301722,35.71301722,139.8266983,139.8266983,77,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,青戸車庫前方面,四ッ木橋南詰,https://mb.jorudan.co.jp//os/bus/1301/stop/41739.html,
墨田区,35.71229583,35.71229583,139.8247217,139.8247217,78,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,青戸車庫前方面,四ッ木橋,https://mb.jorudan.co.jp//os/bus/1301/stop/41035.html,
墨田区,35.71094917,35.71094917,139.8206478,139.8206478,79,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,青戸車庫前方面,よつぎ小学校前,https://mb.jorudan.co.jp//os/bus/1301/stop/41286.html,
墨田区,35.70806139,35.70806139,139.8173061,139.8173061,80,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,青戸車庫前方面,葛飾警察署前,https://mb.jorudan.co.jp//os/bus/1301/stop/41753.html,
墨田区,35.70883194,35.70883194,139.8121028,139.8121028,81,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,青戸車庫前方面,梅田小学校前,https://mb.jorudan.co.jp//os/bus/1301/stop/41847.html,
墨田区,35.70867944,35.70867944,139.8090511,139.8090511,82,都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,青戸車庫前方面,青戸車庫前,https://mb.jorudan.co.jp//os/bus/1301/stop/41072.html,
江東区,35.69800222,35.69800222,139.8254542,139.8254542,83,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,亀戸駅前,https://mb.jorudan.co.jp//os/bus/1301/stop/40984.html,
江東区,35.70106139,35.70106139,139.8254847,139.8254847,84,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,亀戸四丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41430.html,
江東区,35.70158417,35.70158417,139.8211056,139.8211056,85,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,亀戸天神前,https://mb.jorudan.co.jp//os/bus/1301/stop/41803.html,
墨田区,35.70122944,35.70122944,139.8174281,139.8174281,86,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,太平四丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/40789.html,
墨田区,35.7016375,35.7016375,139.8147731,139.8147731,87,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,太平三丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41818.html,
墨田区,35.70383861,35.70383861,139.8143764,139.8143764,88,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,横川三丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41336.html,
墨田区,35.70623056,35.70623056,139.8143153,139.8143153,89,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,業平四丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41183.html,
墨田区,35.70824083,35.70824083,139.813705,139.813705,90,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,押上,https://mb.jorudan.co.jp//os/bus/1301/stop/41847.html,
墨田区,35.71015194,35.71015194,139.8085933,139.8085933,91,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,とうきょうスカイツリー駅前,https://mb.jorudan.co.jp//os/bus/1301/stop/40515.html,
墨田区,35.71255889,35.71255889,139.8064264,139.8064264,92,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,言問橋,https://mb.jorudan.co.jp//os/bus/1301/stop/41159.html,
台東区,35.71529417,35.71529417,139.8005061,139.8005061,93,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,隅田公園,https://mb.jorudan.co.jp//os/bus/1301/stop/41352.html,
台東区,35.71608,35.71608,139.7977136,139.7977136,94,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,浅草二丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/40710.html,
台東区,35.71676278,35.71676278,139.7944331,139.7944331,95,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,奥浅草,https://mb.jorudan.co.jp//os/bus/1301/stop/40972.html,
台東区,35.71735778,35.71735778,139.7919153,139.7919153,96,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,西浅草三丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41808.html,
台東区,35.71789583,35.71789583,139.7898556,139.7898556,97,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,入谷二丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41648.html,
台東区,35.71906694,35.71906694,139.7861322,139.7861322,98,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,中入谷［台東区］,https://mb.jorudan.co.jp//os/bus/1301/stop/228327.html,
台東区,35.71995194,35.71995194,139.7831417,139.7831417,99,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,入谷鬼子母神,https://mb.jorudan.co.jp//os/bus/1301/stop/40877.html,
台東区,35.72104056,35.72104056,139.7811219,139.7811219,100,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,下谷二丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/40963.html,
台東区,35.72268333,35.72268333,139.7744744,139.7744744,101,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,上野桜木,https://mb.jorudan.co.jp//os/bus/1301/stop/41491.html,
台東区,35.72107389,35.72107389,139.7706472,139.7706472,102,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,谷中,https://mb.jorudan.co.jp//os/bus/1301/stop/41105.html,
文京区,35.71831,35.71831,139.7657119,139.7657119,103,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,根津駅前,https://mb.jorudan.co.jp//os/bus/1301/stop/41714.html,
台東区,35.71497,35.71497,139.7674403,139.7674403,104,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,池之端二丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/40744.html,
台東区,35.71218139,35.71218139,139.7686761,139.7686761,105,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,池之端一丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41802.html,
台東区,35.70974,35.70974,139.7718653,139.7718653,106,都バス２３区,上２６,亀戸駅前～上野公園,上野公園方面,亀戸駅前方面,上野公園,https://mb.jorudan.co.jp//os/bus/1301/stop/41398.html,
台東区,35.70974,35.70974,139.7718653,139.7718653,107,都バス２３区,上２６,亀戸駅前～上野公園,亀戸駅前方面,上野公園方面,上野広小路,https://mb.jorudan.co.jp//os/bus/1301/stop/41398.html,
江東区,35.69800222,35.69800222,139.8254542,139.8254542,108,都バス２３区,上２６,亀戸駅前～上野公園,亀戸駅前方面,上野公園方面,上野公園,https://mb.jorudan.co.jp//os/bus/1301/stop/40984.html,
荒川区,35.73323861,35.73323861,139.7997583,139.7997583,109,都バス２３区,上４６,南千住駅東口～上野松坂屋前,上野松坂屋前方面,南千住駅東口方面,南千住駅東口,https://mb.jorudan.co.jp//os/bus/1301/stop/40880.html,
荒川区,35.73500861,35.73500861,139.8023525,139.8023525,110,都バス２３区,上４６,南千住駅東口～上野松坂屋前,上野松坂屋前方面,南千住駅東口方面,ドナウ通り,https://mb.jorudan.co.jp//os/bus/1301/stop/41750.html,
荒川区,35.73549667,35.73549667,139.8045953,139.8045953,111,都バス２３区,上４６,南千住駅東口～上野松坂屋前,上野松坂屋前方面,南千住駅東口方面,南千住四丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41328.html,
荒川区,35.73770556,35.73770556,139.8056942,139.8056942,112,都バス２３区,上４６,南千住駅東口～上野松坂屋前,上野松坂屋前方面,南千住駅東口方面,南千住汐入,https://mb.jorudan.co.jp//os/bus/1301/stop/40800.html,
荒川区,35.73825861,35.73825861,139.8091578,139.8091578,113,都バス２３区,上４６,南千住駅東口～上野松坂屋前,上野松坂屋前方面,南千住駅東口方面,はなみずき通り中央,https://mb.jorudan.co.jp//os/bus/1301/stop/41543.html,
荒川区,35.73783139,35.73783139,139.8110803,139.8110803,114,都バス２３区,上４６,南千住駅東口～上野松坂屋前,上野松坂屋前方面,南千住駅東口方面,荒川区立第三中学校前,https://mb.jorudan.co.jp//os/bus/1301/stop/41469.html,
荒川区,35.73706472,35.73706472,139.80928,139.80928,115,都バス２３区,上４６,南千住駅東口～上野松坂屋前,上野松坂屋前方面,南千住駅東口方面,汐入公園前,https://mb.jorudan.co.jp//os/bus/1301/stop/40860.html,
荒川区,35.736195,35.736195,139.8078761,139.8078761,116,都バス２３区,上４６,南千住駅東口～上野松坂屋前,上野松坂屋前方面,南千住駅東口方面,南千住八丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41306.html,
荒川区,35.73445917,35.73445917,139.8080439,139.8080439,117,都バス２３区,上４６,南千住駅東口～上野松坂屋前,上野松坂屋前方面,南千住駅東口方面,都立産業技術高専荒川Ｃ前,https://mb.jorudan.co.jp//os/bus/1301/stop/40673.html,
荒川区,35.73238778,35.73238778,139.8074642,139.8074642,118,都バス２３区,上４６,南千住駅東口～上野松坂屋前,上野松坂屋前方面,南千住駅東口方面,南千住三丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/40938.html,
荒川区,35.73145333,35.73145333,139.8045039,139.8045039,119,都バス２３区,上４６,南千住駅東口～上野松坂屋前,上野松坂屋前方面,南千住駅東口方面,南千住清掃車車庫前,https://mb.jorudan.co.jp//os/bus/1301/stop/41302.html,
荒川区,35.73022861,35.73022861,139.800155,139.800155,120,都バス２３区,上４６,南千住駅東口～上野松坂屋前,上野松坂屋前方面,南千住駅東口方面,隅田川貨物駅前,https://mb.jorudan.co.jp//os/bus/1301/stop/224481.html,
