バス停ID,バス会社名称,バス停名称,緯度,経度
356,都営バス,旧道交差点,35.792923,139.799228
357,都営バス,保木間仲通り,35.792914,139.801566
358,都営バス,保木間一丁目〔都営バス〕,35.792454,139.802647
359,都営バス,六月町〔国道4号〕,35.788587,139.802943
360,都営バス,平野町(東京都),35.7849,139.80308
361,都営バス,島根町,35.782216,139.803156
362,都営バス,小右衛門町,35.777788,139.803304
363,都営バス,足立区役所,35.775151,139.803991
364,都営バス,足立区役所前,35.774888,139.803417
365,都営バス,弥生町(東京都),35.77286,139.803515
366,都営バス,都立足立高校前,35.770022,139.80364
367,都営バス,千住車庫前〔日光街道〕,35.764754,139.803928
368,都営バス,千住車庫前〔車庫西側〕,35.764768,139.802795
369,都営バス,千住四丁目,35.754061,139.801248
370,都営バス,千住二丁目,35.751661,139.800394
371,都営バス,北千住駅前,35.749895,139.804675
372,都営バス,五反田駅,35.626287,139.723936
373,都営バス,高輪台駅前,35.631312,139.729493
374,都営バス,白金台二丁目,35.633662,139.730848
375,都営バス,明治学院前,35.636414,139.731271
376,都営バス,白金台一丁目,35.639543,139.732061
377,都営バス,白金高輪駅前,35.641714,139.733732
378,都営バス,魚籃坂下,35.644526,139.735954
379,都営バス,古川橋(東京都),35.647311,139.736119
380,都営バス,三ノ橋,35.65008,139.736547
381,都営バス,二ノ橋(港区),35.652072,139.736352
382,都営バス,麻布十番駅前,35.654351,139.736729
383,都営バス,中ノ橋(港区),35.654579,139.741909
384,都営バス,赤羽橋駅前,35.654215,139.743857
385,都営バス,五反田駅,35.626188,139.724021
386,都営バス,東五反田一丁目,35.625906,139.725259
387,都営バス,東五反田三丁目,35.625122,139.730575
388,都営バス,御殿山小学校前,35.624106,139.732512
389,都営バス,御殿山(東京都),35.623229,139.73487
390,都営バス,八ッ山橋,35.624382,139.737941
391,都営バス,品川車庫前,35.623294,139.741106
392,都営バス,品川駅高輪口,35.629627,139.737234
393,都営バス,高輪北町,35.634499,139.738082
394,都営バス,泉岳寺前,35.637631,139.738616
395,都営バス,高輪一丁目,35.641342,139.737502
396,都営バス,麻布十番駅前,35.655684,139.736919
397,都営バス,飯倉片町,35.660724,139.737309
398,都営バス,六本木五丁目,35.661815,139.735537
399,都営バス,六本木駅前,35.662464,139.731085
400,都営バス,六本木ヒルズ,35.660319,139.729071
401,都営バス,品川駅港南口,35.628757,139.741177
402,都営バス,食肉市場前(東京都),35.627672,139.744969
403,都営バス,楽水橋[品川車庫入口],35.624148,139.745286
404,都営バス,天王洲橋,35.621106,139.746148
405,都営バス,東品川三丁目,35.615846,139.747909
406,都営バス,品川警察署入口,35.614361,139.747859
407,都営バス,品川シーサイド駅前,35.609316,139.749607
408,都営バス,八潮パークタウン,35.599726,139.750774
409,都営バス,大井競馬場前,35.593265,139.741034
410,都営バス,新浜川橋,35.596852,139.742113
411,都営バス,勝島,35.598973,139.742787
412,都営バス,勝島一丁目,35.600129,139.744334
413,都営バス,鮫洲運転免許試験場前,35.60422,139.745982
414,都営バス,都立産業技術高専品川キャンパス前,35.607401,139.74697
415,都営バス,都立八潮高校前,35.610559,139.747286
416,都営バス,品川警察署入口,35.613601,139.747537
417,都営バス,東品川三丁目,35.614789,139.747615
418,都営バス,昭和橋(品川区),35.616516,139.747588
419,都営バス,天王洲橋,35.619834,139.746457
420,都営バス,北品川二丁目,35.618382,139.744412
421,都営バス,北品川,35.621186,139.739327
422,都営バス,東品川一丁目,35.620624,139.742484
423,都営バス,品川車庫前,35.622561,139.740589
424,都営バス,品川駅高輪口,35.628161,139.737404
425,都営バス,グランドプリンスホテル新高輪前,35.630038,139.732314
426,都営バス,高輪三丁目,35.633952,139.732599
427,都営バス,高輪警察署前,35.635286,139.732917
428,都営バス,明治学院前,35.635915,139.730287
429,都営バス,白金小学校前,35.636642,139.728353
430,都営バス,白金台駅前,35.638032,139.726598
431,都営バス,白金台五丁目,35.636513,139.723163
432,都営バス,上大崎,35.634378,139.719013
