バス会社名称,路線名称,バス停名称,緯度,経度,ID,路線ID,停車順番
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],東墨田二丁目,35.721817,139.830764,20,1,21
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],東墨田会館前,35.721302,139.832463,21,1,22
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],東墨田三丁目,35.719013,139.834126,22,1,23
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],東墨田一丁目,35.716139,139.832904,23,1,24
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],平井七丁目第三アパート前,35.715068,139.835041,24,1,25
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],中平井(江戸川区),35.716271,139.835793,25,1,26
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],平井七丁目北公園前,35.716786,139.837784,26,1,27
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],平井七丁目,35.714958,139.842319,27,1,28
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],平井六丁目交番前,35.712406,139.842252,28,1,29
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],平井小学校前(東京都),35.710057,139.841877,29,1,30
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],平井駅前,35.706681,139.841922,30,1,31
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],青戸車庫前,35.743776,139.843356,31,2,1
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],梅田小学校前,35.740399,139.840015,32,2,2
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],葛飾警察署前〔都営バス〕,35.737673,139.837073,33,2,3
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],よつぎ小学校前,35.736099,139.834953,34,2,4
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],四ツ木橋,35.734579,139.8327,35,2,5
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],四ツ木橋南詰,35.729557,139.826212,36,2,6
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],八広,35.7265,139.827673,37,2,7
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],八広六丁目,35.723982,139.83041,38,2,8
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],東墨田会館前,35.721302,139.832463,39,2,9
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],東墨田三丁目,35.719013,139.834126,40,2,10
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],東墨田一丁目,35.716139,139.832904,41,2,11
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],平井七丁目第三アパート前,35.715068,139.835041,42,2,12
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],中平井(江戸川区),35.716271,139.835793,43,2,13
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],平井七丁目北公園前,35.716786,139.837784,44,2,14
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],平井七丁目,35.714958,139.842319,45,2,15
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],平井六丁目交番前,35.712406,139.842252,46,2,16
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],平井小学校前(東京都),35.710057,139.841877,47,2,17
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],平井駅前,35.706681,139.841922,48,2,18
都営バス,上26[都営バス],亀戸駅前,35.698022,139.825505,49,3,1
都営バス,上26[都営バス],亀戸四丁目,35.701609,139.82469,50,3,2
都営バス,上26[都営バス],亀戸天神前,35.701387,139.820407,51,3,3
都営バス,上26[都営バス],太平四丁目,35.70124,139.817428,52,3,4
都営バス,上26[都営バス],太平三丁目,35.701779,139.814549,53,3,5
都営バス,上26[都営バス],横川三丁目(東京都),35.703856,139.814373,54,3,6
都営バス,上26[都営バス],業平四丁目,35.70639,139.814138,55,3,7
都営バス,上26[都営バス],押上,35.708309,139.813736,56,3,8
都営バス,上26[都営バス],とうきょうスカイツリー駅前,35.710019,139.808381,57,3,9
都営バス,上26[都営バス],言問橋,35.712529,139.806206,58,3,10
都営バス,上26[都営バス],隅田公園〔都営バス〕,35.715297,139.800519,59,3,11
都営バス,上26[都営バス],浅草二丁目,35.71612,139.796977,60,3,12
都営バス,上26[都営バス],奥浅草,35.716714,139.794645,61,3,13
都営バス,上26[都営バス],西浅草三丁目〔都営バス〕,35.717403,139.791914,62,3,14
都営バス,上26[都営バス],入谷二丁目,35.717901,139.789932,63,3,15
都営バス,上26[都営バス],中入谷(台東区),35.71907,139.786083,64,3,16
都営バス,上26[都営バス],入谷鬼子母神,35.720024,139.78292,65,3,17
都営バス,上26[都営バス],下谷二丁目,35.720928,139.780741,66,3,18
都営バス,上26[都営バス],上野桜木,35.7224,139.77407,67,3,19
都営バス,上26[都営バス],谷中(東京都),35.721117,139.77108,68,3,20
都営バス,上26[都営バス],根津駅前,35.717628,139.765594,69,3,21
都営バス,上26[都営バス],池之端二丁目,35.715215,139.767539,70,3,22
都営バス,上26[都営バス],池之端一丁目,35.71224,139.768683,71,3,23
都営バス,上26[都営バス],上野広小路,35.707969,139.772295,72,3,24
都営バス,上26[都営バス],上野公園(東京都),35.709754,139.771856,73,3,25
都営バス,上46[都営バス],南千住駅東口,35.733403,139.799884,74,4,1
都営バス,上46[都営バス],ドナウ通り,35.734972,139.801649,75,4,2
都営バス,上46[都営バス],南千住四丁目,35.735708,139.804288,76,4,3
都営バス,上46[都営バス],南千住汐入,35.73784,139.805869,77,4,4
都営バス,上46[都営バス],はなみずき通り中央,35.738355,139.809051,78,4,5
都営バス,上46[都営バス],荒川区立第三中学校前,35.737897,139.811085,79,4,6
都営バス,上46[都営バス],汐入公園前,35.737099,139.809216,80,4,7
都営バス,上46[都営バス],南千住八丁目,35.736375,139.807867,81,4,8
都営バス,上46[都営バス],都立産業技術高専荒川キャンパス前,35.734524,139.80804,82,4,9
都営バス,上46[都営バス],南千住三丁目,35.732736,139.808323,83,4,10
都営バス,上46[都営バス],南千住清掃車車庫前,35.731442,139.804518,84,4,11
都営バス,上46[都営バス],隅田川貨物駅前,35.730305,139.800611,85,4,12
都営バス,上46[都営バス],南千住車庫前,35.731361,139.798429,86,4,13
都営バス,上46[都営バス],清川二丁目,35.726729,139.800694,87,4,14
都営バス,上46[都営バス],吉原大門,35.724209,139.797731,88,4,15
都営バス,上46[都営バス],浅草五丁目,35.721605,139.797015,89,4,16
都営バス,上46[都営バス],浅草四丁目〔都営バス〕,35.719967,139.795443,90,4,17
都営バス,上46[都営バス],奥浅草,35.717413,139.794418,91,4,18
都営バス,上46[都営バス],浅草公園六区,35.714073,139.792665,92,4,19
都営バス,上46[都営バス],浅草一丁目,35.71218,139.792268,93,4,20
都営バス,上46[都営バス],浅草寿町,35.709687,139.790577,94,4,21
都営バス,上46[都営バス],菊屋橋,35.710296,139.78754,95,4,22
都営バス,上46[都営バス],東上野六丁目,35.711014,139.783446,96,4,23
都営バス,上46[都営バス],下谷神社前,35.711451,139.781017,97,4,24
都営バス,上46[都営バス],上野駅前,35.711409,139.775325,98,4,25
都営バス,上46[都営バス],上野公園山下,35.710813,139.774163,99,4,26
都営バス,上46[都営バス],上野松坂屋前,35.709104,139.773546,100,4,27
都営バス,上58[都営バス],早稲田(東京都),35.711071,139.722139,101,5,1
都営バス,上58[都営バス],関口一丁目,35.71055,139.724001,102,5,2
都営バス,上58[都営バス],鶴巻町,35.709888,139.726772,103,5,3
都営バス,上58[都営バス],江戸川橋,35.711332,139.73113,104,5,4
都営バス,上58[都営バス],音羽一丁目,35.713521,139.730107,105,5,5
都営バス,上58[都営バス],音羽二丁目,35.717834,139.727949,106,5,6
都営バス,上58[都営バス],護国寺正門前,35.720836,139.728917,107,5,7
都営バス,上58[都営バス],大塚三丁目,35.721631,139.732453,108,5,8
都営バス,上58[都営バス],千石三丁目,35.723208,139.736749,109,5,9
都営バス,上58[都営バス],千石二丁目(文京区),35.726069,139.740962,110,5,10
都営バス,上58[都営バス],千石一丁目(文京区),35.729135,139.744229,111,5,11
都営バス,上58[都営バス],文京グリーンコート前,35.730713,139.746767,112,5,12
都営バス,上58[都営バス],上富士前,35.732767,139.749811,113,5,13
都営バス,上58[都営バス],本駒込五丁目,35.733556,139.753831,114,5,14
都営バス,上58[都営バス],本駒込四丁目,35.733232,139.757023,115,5,15
都営バス,上58[都営バス],動坂下,35.731988,139.759094,116,5,16
都営バス,上58[都営バス],道灌山下,35.730318,139.761952,117,5,17
都営バス,上58[都営バス],千駄木三丁目,35.728119,139.763653,118,5,18
都営バス,上58[都営バス],団子坂下,35.724449,139.763045,119,5,19
都営バス,上58[都営バス],千駄木二丁目,35.722233,139.762402,120,5,20
都営バス,上58[都営バス],根津神社入口,35.720326,139.762908,121,5,21
都営バス,上58[都営バス],根津駅前,35.718279,139.764951,122,5,22
都営バス,上58[都営バス],池之端二丁目,35.715215,139.767539,123,5,23
都営バス,上58[都営バス],池之端一丁目,35.71224,139.768683,124,5,24
都営バス,上58[都営バス],上野公園(東京都),35.709534,139.771644,125,5,25
都営バス,上58[都営バス],上野松坂屋前,35.707551,139.772786,126,5,26
都営バス,上60[都営バス],池袋駅東口,35.730811,139.71267,127,6,1
都営バス,上60[都営バス],Hareza池袋,35.732676,139.715072,128,6,2
都営バス,上60[都営バス],六ツ又陸橋,35.732581,139.71876,129,6,3
